seed,arm,step,task_id,group_class,correct_count,unique_programs,unique_correct_programs,sample_entropy_nats,collision_fraction,mean_reward,cumulative_tasks_reached,cumulative_unique_correct_programs
0,control,50,ed34fcfa3a095d03cb61,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,4,2
0,control,51,3012f8218334b0882801,all_wrong,0,2,0,0.5623351446188083,0.5714285714285714,0.0,4,2
0,control,52,474db377df5acbb5d0c3,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,53,1024659a78eaf340da4e,all_wrong,0,2,0,0.6615632381579821,0.4642857142857143,0.0,4,2
0,control,54,261af030ee95227ce2c8,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,55,3c58229f4e9cbda91be5,all_wrong,0,6,0,1.7328679513998633,0.07142857142857142,0.0,4,2
0,control,56,584024edc0865d1e66c1,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,57,013b955ed2c9d6feeb28,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,4,2
0,control,58,7114759266ada9575ded,all_wrong,0,6,0,1.6674619334292948,0.10714285714285714,0.0,4,2
0,control,59,fd3d7a2c987035d5e8c1,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,60,dc1a6d20f0fa146b62f2,all_wrong,0,4,0,1.3208883431493221,0.17857142857142858,0.0,4,2
0,control,61,76b7e95f2c5d8f517843,all_wrong,0,4,0,1.2554823251787537,0.21428571428571427,0.0,4,2
0,control,62,5b759cdfc67909c722c7,all_wrong,0,2,0,0.37677016125643675,0.75,0.0,4,2
0,control,63,5511a7e3832427045228,all_wrong,0,3,0,0.7356219397587946,0.5357142857142857,0.0,4,2
0,control,64,670146be6d32a043bf49,all_wrong,0,3,0,1.0821955300387673,0.25,0.0,4,2
0,control,65,6aa54196eb4a8e4964c0,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,66,4198150f0b2baf30e430,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,4,2
0,control,67,b376ab06e82f60a7c613,all_wrong,0,1,0,-0.0,1.0,0.0,4,2
0,control,68,7741fff7c0d9471d9963,all_wrong,0,6,0,1.6674619334292948,0.10714285714285714,0.0,4,2
0,control,69,f9e7b4b67374cd48b677,mixed,2,3,1,1.0397207708399179,0.2857142857142857,0.25,5,3
0,control,70,33c7285a84f38344a733,all_wrong,0,1,0,-0.0,1.0,0.0,5,3
0,control,71,ebd9684ddbd2052363b4,all_wrong,0,2,0,0.6615632381579821,0.4642857142857143,0.0,5,3
0,control,72,6273147a5dd10058351d,all_wrong,0,1,0,-0.0,1.0,0.0,5,3
0,control,73,e08246e900811f8d8911,all_wrong,0,4,0,1.3208883431493221,0.17857142857142858,0.0,5,3
0,control,74,bcc13ad79509a1a2a0fd,mixed,1,4,1,1.0735428464085233,0.35714285714285715,0.125,6,3
0,control,75,c99880e9145a7b0a8ef4,all_wrong,0,1,0,-0.0,1.0,0.0,6,3
0,control,76,6bcbfe751dedfec8fa6a,all_wrong,0,5,0,1.4941751382893085,0.14285714285714285,0.0,6,3
0,control,77,ed65448eeda9dc2f1ad3,all_wrong,0,1,0,-0.0,1.0,0.0,6,3
0,control,78,dd60c963a673ec62bd53,mixed,1,4,1,1.2554823251787535,0.21428571428571427,0.125,7,4
0,control,79,1c7002ecf3a5805fb8ea,mixed,5,3,1,0.9002560512685369,0.39285714285714285,0.625,8,5
0,control,80,c3230c325dbe3b046c21,mixed,2,5,1,1.559581156259877,0.10714285714285714,0.25,9,6
