model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,raw,own_target,200,200,0.08925806555910157,0.026175827183021944,0.03,0.175,0.33,0.575,0.82,0.965,1.0,0.026175827183021944,0.03384165155252278,0.037756106187950354,0.04382601834476855,0.05320538345382298,0.0614660514310535,0.06632876044155339
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,unigram,own_target,200,200,0.10733804294907875,0.03685887925458244,0.04,0.22,0.4,0.59,0.81,0.95,1.0,0.03685887925458244,0.05105726698109283,0.05571890634681589,0.06269729139751416,0.07290487709975634,0.08181830569819254,0.08708765380451532
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,unigram,minus_bias_only,200,200,0.061066046665998276,0.017367583388078388,0.02,0.135,0.175,0.225,0.45,0.74,1.0,0.017367583388078388,0.10109919776214539,0.15152065883346325,0.1992122849680517,0.2387025911738418,0.26384257453965043,0.27783934803878424
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,unigram,shuffled_program_bias,200,200,0.08160149959308789,0.025678906142209117,0.025,0.145,0.315,0.5,0.815,0.965,1.0,0.025678906142209117,0.03315617309698673,0.03905645042604039,0.04702202609938098,0.05600973898749456,0.061870485455322796,0.06482689903217376
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional,own_target,200,200,0.11513964850979687,0.032670069357621935,0.04,0.25,0.4,0.625,0.835,0.95,1.0,0.032670069357621935,0.06212459286080489,0.07586751765011619,0.09561199546319753,0.11977451485033237,0.13643616444036802,0.1450213903285377
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional,minus_bias_only,200,200,0.06046168513423414,0.0161852154395432,0.01,0.125,0.22,0.28,0.56,0.835,1.0,0.0161852154395432,0.09850863891915182,0.15387998953371418,0.2143292138019002,0.2721277038579546,0.30867866765660096,0.327318413490806
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional,shuffled_program_bias,200,200,0.08858948826800464,0.020534482547175,0.02,0.21,0.365,0.53,0.81,0.955,1.0,0.020534482547175,0.04326951191771382,0.05184456467293013,0.06121273238427035,0.07316014036685937,0.08323149552048541,0.08917568339011435
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,bigram,own_target,200,200,0.11919324238993352,0.030261003821478085,0.04,0.27,0.405,0.605,0.795,0.955,1.0,0.030261003821478085,0.1075035103353846,0.14667783042174407,0.19276587383128174,0.24413270773968498,0.2787353168720397,0.2964223507914409
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,bigram,minus_bias_only,200,200,0.03711799845274947,0.0017122879816537555,0.0,0.06,0.16,0.33,0.5,0.785,1.0,0.0017122879816537555,0.01329930317999234,0.02573223199681836,0.04826751729685295,0.08560046608247018,0.11824127971173944,0.13661343775012386
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,bigram,shuffled_program_bias,200,200,0.0941926561460103,0.026693844170909618,0.025,0.2,0.325,0.54,0.775,0.96,1.0,0.026693844170909618,0.061432031155714155,0.07657772706984814,0.0914223998824675,0.10712223095611316,0.11858023880463005,0.12489476667283322
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional_bigram,own_target,200,200,0.11919324238993352,0.03026100382147807,0.04,0.27,0.405,0.605,0.795,0.955,1.0,0.03026100382147807,0.10750351033538447,0.14667783042174382,0.19276587383128146,0.24413270773968462,0.2787353168720394,0.29642235079144064
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional_bigram,minus_bias_only,200,200,0.03711799845274947,0.001712287981653743,0.0,0.06,0.16,0.33,0.5,0.785,1.0,0.001712287981653743,0.013299303179992243,0.02573223199681818,0.04826751729685265,0.08560046608246974,0.11824127971173896,0.13661343775012338
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,positional_bigram,shuffled_program_bias,200,200,0.0941926561460103,0.026693844170909635,0.025,0.2,0.325,0.54,0.775,0.96,1.0,0.026693844170909635,0.06143203115571422,0.0765777270698482,0.09142239988246756,0.1071222309561132,0.11858023880463009,0.12489476667283325
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,full,own_target,200,200,0.11475499397734694,0.0312895493723637,0.03,0.27,0.435,0.61,0.865,0.97,1.0,0.0312895493723637,0.16919892434363093,0.25322033646594194,0.34730943230452693,0.4429914775627881,0.5021009777079906,0.5304311197981675
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,full,minus_bias_only,200,200,0.03241805401088098,0.004074440495458292,0.0,0.06,0.145,0.265,0.505,0.79,1.0,0.004074440495458292,0.030319495222672913,0.05613432409361499,0.09766251970336366,0.15484113018664794,0.1965632798144252,0.21793587205136591
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,full,shuffled_program_bias,200,200,0.08095511140952044,0.019186879622587527,0.015,0.2,0.325,0.5,0.76,0.96,1.0,0.019186879622587527,0.06898437218005797,0.09459499419567376,0.12207186637275153,0.14966742469670632,0.1675660412674707,0.17644377608755213
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,train_frequency,task_blind,200,200,0.07518410567300605,0.023230476190476194,0.015,0.1275,0.312,0.65,0.8675,1.0,1.0,0.023230476190476194,0.16773864595650576,0.3004712403400752,0.49205271419594004,0.7069391248841798,0.8262803491206725,0.8749736050486825
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,train_antifrequency,task_blind,200,200,0.013813597036078255,0.0011901588505375442,0.0,0.0,0.0,0.0,0.30000000000000004,0.8242857142857142,1.0,0.0011901588505375442,0.009471090930378465,0.018828476031408647,0.03720838090782799,0.07267121904816198,0.11059722092639167,0.1357715385323209
Qwen/Qwen3-0.6B,0,atomic_control,,dev_A,A,3,score,train_unseen_first,task_blind,200,200,0.014007561805081305,0.00909131167900183,0.0,0.0,0.0,0.0,0.3644634479444606,0.8105423057954704,1.0,0.00909131167900183,0.06987116099389462,0.133622115254359,0.24515113930864682,0.41774930146932987,0.5550696537730985,0.6262384492399538
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,raw,own_target,200,200,0.030907075854451866,0.00010974345274398944,0.0,0.01,0.15,0.315,0.66,0.945,1.0,0.00010974345274398944,0.0008485499354343015,0.001634470991357139,0.0030445806276525305,0.005363835897963769,0.007427244590967884,0.008638014485719658
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,unigram,own_target,200,200,0.03725380038954906,0.0017473835630115017,0.0,0.025,0.155,0.36,0.735,0.93,1.0,0.0017473835630115017,0.005952642206482918,0.007315661896859602,0.009503380657948994,0.01346257936724232,0.017378874521272132,0.01981633615154642
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,unigram,minus_bias_only,200,200,0.024708157113298778,0.004830698843282612,0.0,0.0,0.02,0.35,0.595,1.0,1.0,0.004830698843282612,0.03625718337440273,0.06761252210319783,0.11861196997152149,0.18853806936336298,0.23784095732195176,0.2621995096724883
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,unigram,shuffled_program_bias,200,200,0.03183371795858595,7.171086828415842e-05,0.0,0.025,0.13,0.305,0.615,0.9,1.0,7.171086828415842e-05,0.0005688110599259003,0.0011266894414765887,0.0022109603299023325,0.004262117610318624,0.006401088965122625,0.00779279097744222
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,positional,own_target,200,200,0.04315422526470565,0.0021430470825411,0.005,0.05,0.175,0.47,0.77,0.91,1.0,0.0021430470825411,0.00885304615862413,0.012818376751591403,0.01952007865177254,0.03039401695267151,0.03987928390443711,0.04531262455910822
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,positional,minus_bias_only,200,200,0.023120630336702242,0.003784104534388817,0.0,0.0,0.0,0.265,0.65,0.88,1.0,0.003784104534388817,0.02924394799024827,0.056275792278453786,0.10450900951129909,0.18222760073578,0.24792722348881382,0.28397515901984116
Qwen/Qwen3-0.6B,0,atomic_control,,dev_B,B,3,score,positional,shuffled_program_bias,200,200,0.032649782520659844,6.755722655282418e-05,0.0,0.015,0.125,0.37,0.62,0.915,1.0,6.755722655282418e-05,0.0005374646732546304,0.0010681665924965388,0.0021097759443893154,0.004117134144019977,0.006261987555929328,0.00768562076185832
