seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.445,0.5549999999999999
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.84,0.15000000000000002
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.885,0.11499999999999999
85000,random,apply,SC2,0.82,0.18000000000000005
85000,random,apply,SH1,0.305,0.26999999999999996
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.695,0.30500000000000005
85000,withheld,plan,SC2,0.985,0.015000000000000013
85000,withheld,plan,SH1,0.77,0.21999999999999997
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.77,0.22999999999999998
85000,withheld,apply,SC2,0.85,0.15000000000000002
85000,withheld,apply,SH1,0.29,0.285
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.545,0.45499999999999996
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.72,0.27
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.885,0.11499999999999999
85001,random,apply,SC2,0.85,0.15000000000000002
85001,random,apply,SH1,0.325,0.24999999999999994
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.68,0.31999999999999995
85001,withheld,plan,SC2,0.985,0.015000000000000013
85001,withheld,plan,SH1,0.825,0.16500000000000004
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.885,0.11499999999999999
85001,withheld,apply,SC2,0.76,0.24
85001,withheld,apply,SH1,0.28,0.29499999999999993
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.6,0.4
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.875,0.11499999999999999
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.87,0.13
85002,random,apply,SC2,0.865,0.135
85002,random,apply,SH1,0.315,0.25999999999999995
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.62,0.38
85002,withheld,plan,SC2,0.985,0.015000000000000013
85002,withheld,plan,SH1,0.87,0.12
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.855,0.14500000000000002
85002,withheld,apply,SC2,0.815,0.18500000000000005
85002,withheld,apply,SH1,0.26,0.31499999999999995
