seed,arm,split,hit32,correct_mass
85000,random,withheld,0.547,0.018464867241078976
85000,random,control,0.658,0.06146355261414081
85000,withheld,withheld,0.219,0.00808489690899682
85000,withheld,control,0.73,0.0667881616470641
85001,random,withheld,0.55,0.018316781571959182
85001,random,control,0.677,0.060526663447690005
85001,withheld,withheld,0.227,0.0076148867777604155
85001,withheld,control,0.726,0.05687766444676151
85002,random,withheld,0.339,0.012631953200136716
85002,random,control,0.689,0.05124315752321886
85002,withheld,withheld,0.256,0.008196330243215201
85002,withheld,control,0.715,0.05743612144982046
