seed,arm,selected_trajectories,removed_trajectories,selected_with_excluded_pairs,composition_target_tokens_per_epoch
85000,random,750,549,178,41858
85000,withheld,750,549,0,41858
85001,random,750,549,172,41913
85001,withheld,750,549,0,41913
85002,random,750,549,148,41989
85002,withheld,750,549,0,41989
