seed,arm,split,k,hit_k
85000,random,withheld,1,0.027
85000,random,withheld,2,0.035
85000,random,withheld,3,0.05
85000,random,withheld,4,0.068
85000,random,withheld,5,0.084
85000,random,withheld,6,0.1
85000,random,withheld,7,0.114
85000,random,withheld,8,0.127
85000,random,withheld,9,0.142
85000,random,withheld,10,0.162
85000,random,withheld,11,0.177
85000,random,withheld,12,0.197
85000,random,withheld,13,0.221
85000,random,withheld,14,0.234
85000,random,withheld,15,0.253
85000,random,withheld,16,0.271
85000,random,withheld,17,0.285
85000,random,withheld,18,0.306
85000,random,withheld,19,0.327
85000,random,withheld,20,0.345
85000,random,withheld,21,0.364
85000,random,withheld,22,0.373
85000,random,withheld,23,0.398
85000,random,withheld,24,0.411
85000,random,withheld,25,0.433
85000,random,withheld,26,0.451
85000,random,withheld,27,0.466
85000,random,withheld,28,0.48
85000,random,withheld,29,0.495
85000,random,withheld,30,0.512
85000,random,withheld,31,0.527
85000,random,withheld,32,0.547
85000,random,withheld,33,0.571
85000,random,withheld,34,0.582
85000,random,withheld,35,0.604
85000,random,withheld,36,0.624
85000,random,withheld,37,0.638
85000,random,withheld,38,0.652
85000,random,withheld,39,0.67
85000,random,withheld,40,0.686
85000,random,withheld,41,0.694
85000,random,withheld,42,0.706
85000,random,withheld,43,0.718
85000,random,withheld,44,0.73
85000,random,withheld,45,0.741
85000,random,withheld,46,0.753
85000,random,withheld,47,0.761
85000,random,withheld,48,0.772
85000,random,withheld,49,0.78
85000,random,withheld,50,0.785
85000,random,withheld,51,0.797
85000,random,withheld,52,0.804
85000,random,withheld,53,0.809
85000,random,withheld,54,0.819
85000,random,withheld,55,0.824
85000,random,withheld,56,0.834
85000,random,withheld,57,0.842
85000,random,withheld,58,0.848
85000,random,withheld,59,0.857
85000,random,withheld,60,0.86
85000,random,withheld,61,0.867
85000,random,withheld,62,0.877
85000,random,withheld,63,0.883
85000,random,withheld,64,0.89
85000,random,withheld,65,0.896
85000,random,withheld,66,0.905
85000,random,withheld,67,0.911
85000,random,withheld,68,0.918
85000,random,withheld,69,0.926
85000,random,withheld,70,0.931
85000,random,withheld,71,0.935
85000,random,withheld,72,0.936
85000,random,withheld,73,0.942
85000,random,withheld,74,0.943
85000,random,withheld,75,0.946
85000,random,withheld,76,0.95
85000,random,withheld,77,0.954
85000,random,withheld,78,0.959
85000,random,withheld,79,0.963
85000,random,withheld,80,0.969
85000,random,withheld,81,0.973
85000,random,withheld,82,0.975
85000,random,withheld,83,0.976
85000,random,withheld,84,0.978
85000,random,withheld,85,0.979
85000,random,withheld,86,0.982
85000,random,withheld,87,0.985
85000,random,withheld,88,0.986
85000,random,withheld,89,0.987
85000,random,withheld,90,0.988
85000,random,withheld,91,0.99
85000,random,withheld,92,0.99
85000,random,withheld,93,0.992
85000,random,withheld,94,0.994
85000,random,withheld,95,0.995
85000,random,withheld,96,0.995
85000,random,withheld,97,0.996
85000,random,withheld,98,0.997
85000,random,withheld,99,0.998
85000,random,withheld,100,0.998
85000,random,withheld,101,0.998
85000,random,withheld,102,0.998
85000,random,withheld,103,0.998
85000,random,withheld,104,0.998
85000,random,withheld,105,0.999
85000,random,withheld,106,0.999
85000,random,withheld,107,1.0
85000,random,withheld,108,1.0
85000,random,withheld,109,1.0
85000,random,withheld,110,1.0
85000,random,withheld,111,1.0
85000,random,withheld,112,1.0
85000,random,withheld,113,1.0
85000,random,withheld,114,1.0
85000,random,withheld,115,1.0
85000,random,withheld,116,1.0
85000,random,withheld,117,1.0
85000,random,withheld,118,1.0
85000,random,withheld,119,1.0
85000,random,withheld,120,1.0
85000,random,withheld,121,1.0
85000,random,withheld,122,1.0
85000,random,withheld,123,1.0
85000,random,withheld,124,1.0
85000,random,withheld,125,1.0
85000,random,control,1,0.159
85000,random,control,2,0.219
85000,random,control,3,0.261
85000,random,control,4,0.284
85000,random,control,5,0.303
85000,random,control,6,0.323
85000,random,control,7,0.342
85000,random,control,8,0.361
85000,random,control,9,0.377
85000,random,control,10,0.392
85000,random,control,11,0.404
85000,random,control,12,0.423
85000,random,control,13,0.433
85000,random,control,14,0.443
85000,random,control,15,0.455
85000,random,control,16,0.47
85000,random,control,17,0.486
85000,random,control,18,0.501
85000,random,control,19,0.521
85000,random,control,20,0.533
85000,random,control,21,0.541
85000,random,control,22,0.553
85000,random,control,23,0.566
85000,random,control,24,0.576
85000,random,control,25,0.584
85000,random,control,26,0.594
85000,random,control,27,0.603
85000,random,control,28,0.614
85000,random,control,29,0.627
85000,random,control,30,0.64
85000,random,control,31,0.65
85000,random,control,32,0.658
85000,random,control,33,0.67
85000,random,control,34,0.675
85000,random,control,35,0.687
85000,random,control,36,0.698
85000,random,control,37,0.705
85000,random,control,38,0.716
85000,random,control,39,0.726
85000,random,control,40,0.734
85000,random,control,41,0.74
85000,random,control,42,0.745
85000,random,control,43,0.75
85000,random,control,44,0.759
85000,random,control,45,0.764
85000,random,control,46,0.771
85000,random,control,47,0.774
85000,random,control,48,0.779
85000,random,control,49,0.788
85000,random,control,50,0.8
85000,random,control,51,0.808
85000,random,control,52,0.813
85000,random,control,53,0.816
85000,random,control,54,0.823
85000,random,control,55,0.829
85000,random,control,56,0.835
85000,random,control,57,0.839
85000,random,control,58,0.846
85000,random,control,59,0.851
85000,random,control,60,0.857
85000,random,control,61,0.863
85000,random,control,62,0.869
85000,random,control,63,0.876
85000,random,control,64,0.879
85000,random,control,65,0.883
85000,random,control,66,0.887
85000,random,control,67,0.891
85000,random,control,68,0.895
85000,random,control,69,0.9
85000,random,control,70,0.902
85000,random,control,71,0.908
85000,random,control,72,0.915
85000,random,control,73,0.918
85000,random,control,74,0.92
85000,random,control,75,0.923
85000,random,control,76,0.925
85000,random,control,77,0.928
85000,random,control,78,0.931
85000,random,control,79,0.933
85000,random,control,80,0.938
85000,random,control,81,0.941
85000,random,control,82,0.943
85000,random,control,83,0.948
85000,random,control,84,0.951
85000,random,control,85,0.953
85000,random,control,86,0.954
85000,random,control,87,0.954
85000,random,control,88,0.956
85000,random,control,89,0.958
85000,random,control,90,0.959
85000,random,control,91,0.962
85000,random,control,92,0.963
85000,random,control,93,0.966
85000,random,control,94,0.967
85000,random,control,95,0.969
85000,random,control,96,0.97
85000,random,control,97,0.972
85000,random,control,98,0.973
85000,random,control,99,0.977
85000,random,control,100,0.978
85000,random,control,101,0.978
85000,random,control,102,0.978
85000,random,control,103,0.979
85000,random,control,104,0.982
85000,random,control,105,0.982
85000,random,control,106,0.984
85000,random,control,107,0.987
85000,random,control,108,0.987
85000,random,control,109,0.991
85000,random,control,110,0.993
85000,random,control,111,0.993
85000,random,control,112,0.994
85000,random,control,113,0.996
85000,random,control,114,0.998
85000,random,control,115,0.999
85000,random,control,116,0.999
85000,random,control,117,0.999
85000,random,control,118,1.0
85000,random,control,119,1.0
85000,random,control,120,1.0
85000,random,control,121,1.0
85000,random,control,122,1.0
85000,random,control,123,1.0
85000,random,control,124,1.0
85000,random,control,125,1.0
85000,withheld,withheld,1,0.006
85000,withheld,withheld,2,0.011
85000,withheld,withheld,3,0.015
85000,withheld,withheld,4,0.02
85000,withheld,withheld,5,0.027
85000,withheld,withheld,6,0.033
85000,withheld,withheld,7,0.044
85000,withheld,withheld,8,0.049
85000,withheld,withheld,9,0.06
85000,withheld,withheld,10,0.064
85000,withheld,withheld,11,0.068
85000,withheld,withheld,12,0.078
85000,withheld,withheld,13,0.084
85000,withheld,withheld,14,0.101
85000,withheld,withheld,15,0.111
85000,withheld,withheld,16,0.118
85000,withheld,withheld,17,0.124
85000,withheld,withheld,18,0.126
85000,withheld,withheld,19,0.132
85000,withheld,withheld,20,0.133
85000,withheld,withheld,21,0.14
85000,withheld,withheld,22,0.146
85000,withheld,withheld,23,0.153
85000,withheld,withheld,24,0.162
85000,withheld,withheld,25,0.167
85000,withheld,withheld,26,0.171
85000,withheld,withheld,27,0.176
85000,withheld,withheld,28,0.187
85000,withheld,withheld,29,0.194
85000,withheld,withheld,30,0.204
85000,withheld,withheld,31,0.212
85000,withheld,withheld,32,0.219
85000,withheld,withheld,33,0.227
85000,withheld,withheld,34,0.232
85000,withheld,withheld,35,0.241
85000,withheld,withheld,36,0.251
85000,withheld,withheld,37,0.255
85000,withheld,withheld,38,0.265
85000,withheld,withheld,39,0.278
85000,withheld,withheld,40,0.288
85000,withheld,withheld,41,0.298
85000,withheld,withheld,42,0.313
85000,withheld,withheld,43,0.315
85000,withheld,withheld,44,0.322
85000,withheld,withheld,45,0.333
85000,withheld,withheld,46,0.341
85000,withheld,withheld,47,0.346
85000,withheld,withheld,48,0.358
85000,withheld,withheld,49,0.366
85000,withheld,withheld,50,0.377
85000,withheld,withheld,51,0.385
85000,withheld,withheld,52,0.401
85000,withheld,withheld,53,0.417
85000,withheld,withheld,54,0.426
85000,withheld,withheld,55,0.44
85000,withheld,withheld,56,0.449
85000,withheld,withheld,57,0.46
85000,withheld,withheld,58,0.467
85000,withheld,withheld,59,0.479
85000,withheld,withheld,60,0.493
85000,withheld,withheld,61,0.504
85000,withheld,withheld,62,0.522
85000,withheld,withheld,63,0.538
85000,withheld,withheld,64,0.552
85000,withheld,withheld,65,0.563
85000,withheld,withheld,66,0.572
85000,withheld,withheld,67,0.584
85000,withheld,withheld,68,0.595
85000,withheld,withheld,69,0.608
85000,withheld,withheld,70,0.625
85000,withheld,withheld,71,0.638
85000,withheld,withheld,72,0.651
85000,withheld,withheld,73,0.665
85000,withheld,withheld,74,0.682
85000,withheld,withheld,75,0.7
85000,withheld,withheld,76,0.714
85000,withheld,withheld,77,0.728
85000,withheld,withheld,78,0.74
85000,withheld,withheld,79,0.747
85000,withheld,withheld,80,0.758
85000,withheld,withheld,81,0.77
85000,withheld,withheld,82,0.777
85000,withheld,withheld,83,0.784
85000,withheld,withheld,84,0.79
85000,withheld,withheld,85,0.802
85000,withheld,withheld,86,0.809
85000,withheld,withheld,87,0.816
85000,withheld,withheld,88,0.822
85000,withheld,withheld,89,0.829
85000,withheld,withheld,90,0.838
85000,withheld,withheld,91,0.84
85000,withheld,withheld,92,0.848
85000,withheld,withheld,93,0.855
85000,withheld,withheld,94,0.86
85000,withheld,withheld,95,0.871
85000,withheld,withheld,96,0.876
85000,withheld,withheld,97,0.88
85000,withheld,withheld,98,0.895
85000,withheld,withheld,99,0.906
85000,withheld,withheld,100,0.909
85000,withheld,withheld,101,0.916
85000,withheld,withheld,102,0.923
85000,withheld,withheld,103,0.93
85000,withheld,withheld,104,0.935
85000,withheld,withheld,105,0.94
85000,withheld,withheld,106,0.943
85000,withheld,withheld,107,0.945
85000,withheld,withheld,108,0.95
85000,withheld,withheld,109,0.96
85000,withheld,withheld,110,0.973
85000,withheld,withheld,111,0.976
85000,withheld,withheld,112,0.982
85000,withheld,withheld,113,0.988
85000,withheld,withheld,114,0.991
85000,withheld,withheld,115,0.993
85000,withheld,withheld,116,0.996
85000,withheld,withheld,117,0.997
85000,withheld,withheld,118,0.997
85000,withheld,withheld,119,0.999
85000,withheld,withheld,120,1.0
85000,withheld,withheld,121,1.0
85000,withheld,withheld,122,1.0
85000,withheld,withheld,123,1.0
85000,withheld,withheld,124,1.0
85000,withheld,withheld,125,1.0
85000,withheld,control,1,0.141
85000,withheld,control,2,0.211
85000,withheld,control,3,0.24
85000,withheld,control,4,0.272
85000,withheld,control,5,0.294
85000,withheld,control,6,0.318
85000,withheld,control,7,0.34
85000,withheld,control,8,0.369
85000,withheld,control,9,0.392
85000,withheld,control,10,0.412
85000,withheld,control,11,0.428
85000,withheld,control,12,0.443
85000,withheld,control,13,0.464
85000,withheld,control,14,0.483
85000,withheld,control,15,0.505
85000,withheld,control,16,0.53
85000,withheld,control,17,0.547
85000,withheld,control,18,0.557
85000,withheld,control,19,0.564
85000,withheld,control,20,0.577
