seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.38,0.62
85000,random,plan,SC2,0.995,0.0050000000000000044
85000,random,plan,SH1,0.815,0.17500000000000004
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,1.0,0.0
85000,random,apply,SC2,0.86,0.14
85000,random,apply,SH1,0.295,0.27999999999999997
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.68,0.31999999999999995
85000,withheld,plan,SC2,0.99,0.010000000000000009
85000,withheld,plan,SH1,0.735,0.255
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.94,0.06000000000000005
85000,withheld,apply,SC2,0.86,0.14
85000,withheld,apply,SH1,0.315,0.25999999999999995
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.67,0.32999999999999996
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.79,0.19999999999999996
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.94,0.06000000000000005
85001,random,apply,SC2,0.875,0.125
85001,random,apply,SH1,0.3,0.27499999999999997
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.725,0.275
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.705,0.28500000000000003
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.935,0.06499999999999995
85001,withheld,apply,SC2,0.865,0.135
85001,withheld,apply,SH1,0.29,0.285
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.44,0.56
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.895,0.09499999999999997
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.765,0.235
85002,random,apply,SC2,0.865,0.135
85002,random,apply,SH1,0.33,0.24499999999999994
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.51,0.49
85002,withheld,plan,SC2,0.99,0.010000000000000009
85002,withheld,plan,SH1,0.865,0.125
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.85,0.15000000000000002
85002,withheld,apply,SC2,0.89,0.10999999999999999
85002,withheld,apply,SH1,0.28,0.29499999999999993
