seed,arm,split,hit32,correct_mass
85000,random,withheld,0.821,0.06213626623459384
85000,random,control,0.616,0.047110624208000315
85000,withheld,withheld,0.75,0.04451494386211859
85000,withheld,control,0.626,0.04491290919980011
85001,random,withheld,0.877,0.06262536654543711
85001,random,control,0.626,0.04566360250365278
85001,withheld,withheld,0.846,0.07650683442950713
85001,withheld,control,0.637,0.04707641134699478
85002,random,withheld,0.76,0.05543593063410097
85002,random,control,0.619,0.04328466079366523
85002,withheld,withheld,0.701,0.04380440155850469
85002,withheld,control,0.661,0.04326025892741337
