seed,arm,split,k,hit_k
85000,random,withheld,1,0.108
85000,random,withheld,2,0.199
85000,random,withheld,3,0.236
85000,random,withheld,4,0.264
85000,random,withheld,5,0.273
85000,random,withheld,6,0.291
85000,random,withheld,7,0.307
85000,random,withheld,8,0.329
85000,random,withheld,9,0.347
85000,random,withheld,10,0.356
85000,random,withheld,11,0.372
85000,random,withheld,12,0.387
85000,random,withheld,13,0.394
85000,random,withheld,14,0.409
85000,random,withheld,15,0.421
85000,random,withheld,16,0.435
85000,random,withheld,17,0.445
85000,random,withheld,18,0.46
85000,random,withheld,19,0.474
85000,random,withheld,20,0.491
85000,random,withheld,21,0.504
85000,random,withheld,22,0.512
85000,random,withheld,23,0.519
85000,random,withheld,24,0.526
85000,random,withheld,25,0.536
85000,random,withheld,26,0.542
85000,random,withheld,27,0.545
85000,random,withheld,28,0.551
85000,random,withheld,29,0.553
85000,random,withheld,30,0.557
85000,random,withheld,31,0.56
85000,random,withheld,32,0.564
85000,random,withheld,33,0.568
85000,random,withheld,34,0.573
85000,random,withheld,35,0.578
85000,random,withheld,36,0.585
85000,random,withheld,37,0.59
85000,random,withheld,38,0.596
85000,random,withheld,39,0.599
85000,random,withheld,40,0.605
85000,random,withheld,41,0.608
85000,random,withheld,42,0.611
85000,random,withheld,43,0.614
85000,random,withheld,44,0.616
85000,random,withheld,45,0.619
85000,random,withheld,46,0.628
85000,random,withheld,47,0.639
85000,random,withheld,48,0.641
85000,random,withheld,49,0.648
85000,random,withheld,50,0.652
85000,random,withheld,51,0.659
85000,random,withheld,52,0.667
85000,random,withheld,53,0.678
85000,random,withheld,54,0.684
85000,random,withheld,55,0.688
85000,random,withheld,56,0.695
85000,random,withheld,57,0.703
85000,random,withheld,58,0.717
85000,random,withheld,59,0.725
85000,random,withheld,60,0.738
85000,random,withheld,61,0.747
85000,random,withheld,62,0.752
85000,random,withheld,63,0.759
85000,random,withheld,64,0.765
85000,random,withheld,65,0.774
85000,random,withheld,66,0.786
85000,random,withheld,67,0.792
85000,random,withheld,68,0.802
85000,random,withheld,69,0.812
85000,random,withheld,70,0.82
85000,random,withheld,71,0.825
85000,random,withheld,72,0.83
85000,random,withheld,73,0.833
85000,random,withheld,74,0.84
85000,random,withheld,75,0.845
85000,random,withheld,76,0.851
85000,random,withheld,77,0.857
85000,random,withheld,78,0.87
85000,random,withheld,79,0.875
85000,random,withheld,80,0.88
85000,random,withheld,81,0.883
85000,random,withheld,82,0.885
85000,random,withheld,83,0.89
85000,random,withheld,84,0.896
85000,random,withheld,85,0.908
85000,random,withheld,86,0.912
85000,random,withheld,87,0.918
85000,random,withheld,88,0.923
85000,random,withheld,89,0.931
85000,random,withheld,90,0.932
85000,random,withheld,91,0.936
85000,random,withheld,92,0.948
85000,random,withheld,93,0.952
85000,random,withheld,94,0.958
85000,random,withheld,95,0.96
85000,random,withheld,96,0.962
85000,random,withheld,97,0.963
85000,random,withheld,98,0.971
85000,random,withheld,99,0.972
85000,random,withheld,100,0.977
85000,random,withheld,101,0.981
85000,random,withheld,102,0.985
85000,random,withheld,103,0.986
85000,random,withheld,104,0.987
85000,random,withheld,105,0.991
85000,random,withheld,106,0.994
85000,random,withheld,107,0.996
85000,random,withheld,108,0.997
85000,random,withheld,109,0.997
85000,random,withheld,110,0.997
85000,random,withheld,111,0.998
85000,random,withheld,112,0.998
85000,random,withheld,113,0.998
85000,random,withheld,114,0.999
85000,random,withheld,115,0.999
85000,random,withheld,116,0.999
85000,random,withheld,117,0.999
85000,random,withheld,118,1.0
85000,random,withheld,119,1.0
85000,random,withheld,120,1.0
85000,random,withheld,121,1.0
85000,random,withheld,122,1.0
85000,random,withheld,123,1.0
85000,random,withheld,124,1.0
85000,random,withheld,125,1.0
85000,random,control,1,0.091
85000,random,control,2,0.133
85000,random,control,3,0.167
85000,random,control,4,0.186
85000,random,control,5,0.202
85000,random,control,6,0.219
85000,random,control,7,0.244
85000,random,control,8,0.255
85000,random,control,9,0.277
85000,random,control,10,0.298
85000,random,control,11,0.317
85000,random,control,12,0.328
85000,random,control,13,0.339
85000,random,control,14,0.351
85000,random,control,15,0.373
85000,random,control,16,0.392
85000,random,control,17,0.4
85000,random,control,18,0.407
85000,random,control,19,0.42
85000,random,control,20,0.43
85000,random,control,21,0.438
85000,random,control,22,0.454
85000,random,control,23,0.465
85000,random,control,24,0.481
85000,random,control,25,0.506
85000,random,control,26,0.525
85000,random,control,27,0.535
85000,random,control,28,0.546
85000,random,control,29,0.56
85000,random,control,30,0.568
85000,random,control,31,0.58
85000,random,control,32,0.593
85000,random,control,33,0.602
85000,random,control,34,0.616
85000,random,control,35,0.626
85000,random,control,36,0.632
85000,random,control,37,0.645
85000,random,control,38,0.658
85000,random,control,39,0.676
85000,random,control,40,0.681
85000,random,control,41,0.697
85000,random,control,42,0.705
85000,random,control,43,0.714
85000,random,control,44,0.725
85000,random,control,45,0.737
85000,random,control,46,0.744
85000,random,control,47,0.751
85000,random,control,48,0.757
85000,random,control,49,0.762
85000,random,control,50,0.768
85000,random,control,51,0.777
85000,random,control,52,0.787
85000,random,control,53,0.795
85000,random,control,54,0.804
85000,random,control,55,0.814
85000,random,control,56,0.815
85000,random,control,57,0.826
85000,random,control,58,0.834
85000,random,control,59,0.843
85000,random,control,60,0.849
85000,random,control,61,0.855
85000,random,control,62,0.865
85000,random,control,63,0.87
85000,random,control,64,0.874
85000,random,control,65,0.887
85000,random,control,66,0.893
85000,random,control,67,0.899
85000,random,control,68,0.903
85000,random,control,69,0.908
85000,random,control,70,0.912
85000,random,control,71,0.917
85000,random,control,72,0.922
85000,random,control,73,0.923
85000,random,control,74,0.927
85000,random,control,75,0.93
85000,random,control,76,0.932
85000,random,control,77,0.936
85000,random,control,78,0.942
85000,random,control,79,0.943
85000,random,control,80,0.947
85000,random,control,81,0.947
85000,random,control,82,0.949
85000,random,control,83,0.955
85000,random,control,84,0.96
85000,random,control,85,0.961
85000,random,control,86,0.964
85000,random,control,87,0.965
85000,random,control,88,0.965
85000,random,control,89,0.968
85000,random,control,90,0.971
85000,random,control,91,0.975
85000,random,control,92,0.976
85000,random,control,93,0.976
85000,random,control,94,0.979
85000,random,control,95,0.982
85000,random,control,96,0.983
85000,random,control,97,0.983
85000,random,control,98,0.985
85000,random,control,99,0.986
85000,random,control,100,0.987
85000,random,control,101,0.988
85000,random,control,102,0.988
85000,random,control,103,0.99
85000,random,control,104,0.99
85000,random,control,105,0.991
85000,random,control,106,0.993
85000,random,control,107,0.993
85000,random,control,108,0.994
85000,random,control,109,0.994
85000,random,control,110,0.994
85000,random,control,111,0.995
85000,random,control,112,0.996
85000,random,control,113,0.998
85000,random,control,114,0.998
85000,random,control,115,0.998
85000,random,control,116,0.999
85000,random,control,117,0.999
85000,random,control,118,0.999
85000,random,control,119,0.999
85000,random,control,120,1.0
85000,random,control,121,1.0
85000,random,control,122,1.0
85000,random,control,123,1.0
85000,random,control,124,1.0
85000,random,control,125,1.0
85000,withheld,withheld,1,0.001
85000,withheld,withheld,2,0.009
85000,withheld,withheld,3,0.053
85000,withheld,withheld,4,0.08
85000,withheld,withheld,5,0.101
85000,withheld,withheld,6,0.122
85000,withheld,withheld,7,0.138
85000,withheld,withheld,8,0.148
85000,withheld,withheld,9,0.158
85000,withheld,withheld,10,0.17
85000,withheld,withheld,11,0.182
85000,withheld,withheld,12,0.186
85000,withheld,withheld,13,0.195
85000,withheld,withheld,14,0.203
85000,withheld,withheld,15,0.207
85000,withheld,withheld,16,0.214
85000,withheld,withheld,17,0.222
85000,withheld,withheld,18,0.227
85000,withheld,withheld,19,0.235
85000,withheld,withheld,20,0.246
85000,withheld,withheld,21,0.251
85000,withheld,withheld,22,0.258
85000,withheld,withheld,23,0.269
85000,withheld,withheld,24,0.275
85000,withheld,withheld,25,0.276
85000,withheld,withheld,26,0.285
85000,withheld,withheld,27,0.296
85000,withheld,withheld,28,0.304
85000,withheld,withheld,29,0.311
85000,withheld,withheld,30,0.315
85000,withheld,withheld,31,0.325
85000,withheld,withheld,32,0.333
85000,withheld,withheld,33,0.341
85000,withheld,withheld,34,0.349
85000,withheld,withheld,35,0.36
85000,withheld,withheld,36,0.369
85000,withheld,withheld,37,0.379
85000,withheld,withheld,38,0.389
85000,withheld,withheld,39,0.394
85000,withheld,withheld,40,0.401
85000,withheld,withheld,41,0.414
85000,withheld,withheld,42,0.418
85000,withheld,withheld,43,0.426
85000,withheld,withheld,44,0.429
85000,withheld,withheld,45,0.434
85000,withheld,withheld,46,0.444
85000,withheld,withheld,47,0.449
85000,withheld,withheld,48,0.453
85000,withheld,withheld,49,0.455
85000,withheld,withheld,50,0.46
85000,withheld,withheld,51,0.469
85000,withheld,withheld,52,0.473
85000,withheld,withheld,53,0.479
85000,withheld,withheld,54,0.481
85000,withheld,withheld,55,0.486
85000,withheld,withheld,56,0.49
85000,withheld,withheld,57,0.497
85000,withheld,withheld,58,0.499
85000,withheld,withheld,59,0.505
85000,withheld,withheld,60,0.512
85000,withheld,withheld,61,0.52
85000,withheld,withheld,62,0.526
85000,withheld,withheld,63,0.528
85000,withheld,withheld,64,0.536
85000,withheld,withheld,65,0.543
85000,withheld,withheld,66,0.555
85000,withheld,withheld,67,0.563
85000,withheld,withheld,68,0.576
85000,withheld,withheld,69,0.585
85000,withheld,withheld,70,0.604
85000,withheld,withheld,71,0.62
85000,withheld,withheld,72,0.627
85000,withheld,withheld,73,0.64
85000,withheld,withheld,74,0.655
85000,withheld,withheld,75,0.673
85000,withheld,withheld,76,0.684
85000,withheld,withheld,77,0.702
85000,withheld,withheld,78,0.711
85000,withheld,withheld,79,0.718
85000,withheld,withheld,80,0.726
85000,withheld,withheld,81,0.73
85000,withheld,withheld,82,0.735
85000,withheld,withheld,83,0.744
85000,withheld,withheld,84,0.749
85000,withheld,withheld,85,0.754
85000,withheld,withheld,86,0.757
85000,withheld,withheld,87,0.767
85000,withheld,withheld,88,0.773
85000,withheld,withheld,89,0.78
85000,withheld,withheld,90,0.788
85000,withheld,withheld,91,0.793
85000,withheld,withheld,92,0.797
85000,withheld,withheld,93,0.805
85000,withheld,withheld,94,0.808
85000,withheld,withheld,95,0.811
85000,withheld,withheld,96,0.816
85000,withheld,withheld,97,0.821
85000,withheld,withheld,98,0.828
85000,withheld,withheld,99,0.836
85000,withheld,withheld,100,0.843
85000,withheld,withheld,101,0.851
85000,withheld,withheld,102,0.859
85000,withheld,withheld,103,0.869
85000,withheld,withheld,104,0.88
85000,withheld,withheld,105,0.891
85000,withheld,withheld,106,0.897
85000,withheld,withheld,107,0.908
85000,withheld,withheld,108,0.922
85000,withheld,withheld,109,0.933
85000,withheld,withheld,110,0.943
85000,withheld,withheld,111,0.951
85000,withheld,withheld,112,0.958
85000,withheld,withheld,113,0.966
85000,withheld,withheld,114,0.972
85000,withheld,withheld,115,0.981
85000,withheld,withheld,116,0.987
85000,withheld,withheld,117,0.992
85000,withheld,withheld,118,0.996
85000,withheld,withheld,119,0.997
85000,withheld,withheld,120,0.999
85000,withheld,withheld,121,0.999
85000,withheld,withheld,122,1.0
85000,withheld,withheld,123,1.0
85000,withheld,withheld,124,1.0
85000,withheld,withheld,125,1.0
85000,withheld,control,1,0.052
85000,withheld,control,2,0.079
85000,withheld,control,3,0.098
85000,withheld,control,4,0.119
