seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.555,0.44499999999999995
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.835,0.15500000000000003
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.985,0.015000000000000013
85000,random,apply,SC2,0.81,0.18999999999999995
85000,random,apply,SH1,0.305,0.26999999999999996
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.545,0.45499999999999996
85000,withheld,plan,SC2,0.985,0.015000000000000013
85000,withheld,plan,SH1,0.865,0.125
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.99,0.010000000000000009
85000,withheld,apply,SC2,0.84,0.16000000000000003
85000,withheld,apply,SH1,0.31,0.26499999999999996
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.435,0.565
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.835,0.15500000000000003
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.965,0.03500000000000003
85001,random,apply,SC2,0.8,0.19999999999999996
85001,random,apply,SH1,0.31,0.26499999999999996
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.565,0.43500000000000005
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.84,0.15000000000000002
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.965,0.03500000000000003
85001,withheld,apply,SC2,0.87,0.13
85001,withheld,apply,SH1,0.305,0.26999999999999996
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.305,0.6950000000000001
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.905,0.08499999999999996
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.865,0.135
85002,random,apply,SC2,0.83,0.17000000000000004
85002,random,apply,SH1,0.325,0.24999999999999994
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.545,0.45499999999999996
85002,withheld,plan,SC2,0.985,0.015000000000000013
85002,withheld,plan,SH1,0.73,0.26
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.89,0.10999999999999999
85002,withheld,apply,SC2,0.84,0.16000000000000003
85002,withheld,apply,SH1,0.315,0.25999999999999995
