seed,arm,split,hit32,correct_mass
85000,random,withheld,0.564,0.05970722352571257
85000,random,control,0.593,0.03368658616426174
85000,withheld,withheld,0.333,0.02076082210456972
85000,withheld,control,0.648,0.027757925605677306
85001,random,withheld,0.54,0.050721886943209615
85001,random,control,0.604,0.03284923517144864
85001,withheld,withheld,0.291,0.01756936127542758
85001,withheld,control,0.629,0.02987054579251538
85002,random,withheld,0.562,0.06286753281885187
85002,random,control,0.588,0.028329488227760623
85002,withheld,withheld,0.334,0.0200498190990666
85002,withheld,control,0.618,0.026610138722141793
