seed,arm,split,hit32,correct_mass
85000,random,withheld,0.755,0.01883094723590844
85000,random,control,0.584,0.04069202904065494
85000,withheld,withheld,0.429,0.010571757506678648
85000,withheld,control,0.671,0.052094518076478635
85001,random,withheld,0.815,0.024843654170512066
85001,random,control,0.592,0.03790142673089851
85001,withheld,withheld,0.357,0.00929069330334999
85001,withheld,control,0.694,0.050383676713794165
85002,random,withheld,0.788,0.02393760670593
85002,random,control,0.598,0.039416970384035244
85002,withheld,withheld,0.269,0.008111424133643692
85002,withheld,control,0.686,0.054750753266805834
