seed,arm,split,k,hit_k
85000,random,withheld,1,0.011
85000,random,withheld,2,0.039
85000,random,withheld,3,0.056
85000,random,withheld,4,0.089
85000,random,withheld,5,0.126
85000,random,withheld,6,0.161
85000,random,withheld,7,0.191
85000,random,withheld,8,0.216
85000,random,withheld,9,0.252
85000,random,withheld,10,0.283
85000,random,withheld,11,0.319
85000,random,withheld,12,0.349
85000,random,withheld,13,0.379
85000,random,withheld,14,0.418
85000,random,withheld,15,0.456
85000,random,withheld,16,0.482
85000,random,withheld,17,0.518
85000,random,withheld,18,0.547
85000,random,withheld,19,0.565
85000,random,withheld,20,0.59
85000,random,withheld,21,0.613
85000,random,withheld,22,0.626
85000,random,withheld,23,0.648
85000,random,withheld,24,0.658
85000,random,withheld,25,0.667
85000,random,withheld,26,0.683
85000,random,withheld,27,0.695
85000,random,withheld,28,0.707
85000,random,withheld,29,0.726
85000,random,withheld,30,0.734
85000,random,withheld,31,0.743
85000,random,withheld,32,0.755
85000,random,withheld,33,0.763
85000,random,withheld,34,0.771
85000,random,withheld,35,0.78
85000,random,withheld,36,0.785
85000,random,withheld,37,0.794
85000,random,withheld,38,0.8
85000,random,withheld,39,0.809
85000,random,withheld,40,0.817
85000,random,withheld,41,0.822
85000,random,withheld,42,0.829
85000,random,withheld,43,0.837
85000,random,withheld,44,0.844
85000,random,withheld,45,0.847
85000,random,withheld,46,0.851
85000,random,withheld,47,0.856
85000,random,withheld,48,0.858
85000,random,withheld,49,0.868
85000,random,withheld,50,0.872
85000,random,withheld,51,0.878
85000,random,withheld,52,0.891
85000,random,withheld,53,0.895
85000,random,withheld,54,0.897
85000,random,withheld,55,0.907
85000,random,withheld,56,0.915
85000,random,withheld,57,0.921
85000,random,withheld,58,0.926
85000,random,withheld,59,0.929
85000,random,withheld,60,0.939
85000,random,withheld,61,0.941
85000,random,withheld,62,0.947
85000,random,withheld,63,0.952
85000,random,withheld,64,0.956
85000,random,withheld,65,0.958
85000,random,withheld,66,0.961
85000,random,withheld,67,0.966
85000,random,withheld,68,0.971
85000,random,withheld,69,0.972
85000,random,withheld,70,0.977
85000,random,withheld,71,0.979
85000,random,withheld,72,0.985
85000,random,withheld,73,0.987
85000,random,withheld,74,0.989
85000,random,withheld,75,0.99
85000,random,withheld,76,0.99
85000,random,withheld,77,0.991
85000,random,withheld,78,0.991
85000,random,withheld,79,0.991
85000,random,withheld,80,0.993
85000,random,withheld,81,0.993
85000,random,withheld,82,0.994
85000,random,withheld,83,0.997
85000,random,withheld,84,0.997
85000,random,withheld,85,0.997
85000,random,withheld,86,0.998
85000,random,withheld,87,0.999
85000,random,withheld,88,0.999
85000,random,withheld,89,0.999
85000,random,withheld,90,1.0
85000,random,withheld,91,1.0
85000,random,withheld,92,1.0
85000,random,withheld,93,1.0
85000,random,withheld,94,1.0
85000,random,withheld,95,1.0
85000,random,withheld,96,1.0
85000,random,withheld,97,1.0
85000,random,withheld,98,1.0
85000,random,withheld,99,1.0
85000,random,withheld,100,1.0
85000,random,withheld,101,1.0
85000,random,withheld,102,1.0
85000,random,withheld,103,1.0
85000,random,withheld,104,1.0
85000,random,withheld,105,1.0
85000,random,withheld,106,1.0
85000,random,withheld,107,1.0
85000,random,withheld,108,1.0
85000,random,withheld,109,1.0
85000,random,withheld,110,1.0
85000,random,withheld,111,1.0
85000,random,withheld,112,1.0
85000,random,withheld,113,1.0
85000,random,withheld,114,1.0
85000,random,withheld,115,1.0
85000,random,withheld,116,1.0
85000,random,withheld,117,1.0
85000,random,withheld,118,1.0
85000,random,withheld,119,1.0
85000,random,withheld,120,1.0
85000,random,withheld,121,1.0
85000,random,withheld,122,1.0
85000,random,withheld,123,1.0
85000,random,withheld,124,1.0
85000,random,withheld,125,1.0
85000,random,control,1,0.088
85000,random,control,2,0.127
85000,random,control,3,0.162
85000,random,control,4,0.18
85000,random,control,5,0.202
85000,random,control,6,0.215
85000,random,control,7,0.236
85000,random,control,8,0.252
85000,random,control,9,0.269
85000,random,control,10,0.291
85000,random,control,11,0.306
85000,random,control,12,0.321
85000,random,control,13,0.338
85000,random,control,14,0.354
85000,random,control,15,0.365
85000,random,control,16,0.381
85000,random,control,17,0.393
85000,random,control,18,0.412
85000,random,control,19,0.426
85000,random,control,20,0.44
85000,random,control,21,0.459
85000,random,control,22,0.465
85000,random,control,23,0.478
85000,random,control,24,0.491
85000,random,control,25,0.504
85000,random,control,26,0.52
85000,random,control,27,0.528
85000,random,control,28,0.539
85000,random,control,29,0.548
85000,random,control,30,0.562
85000,random,control,31,0.568
85000,random,control,32,0.584
85000,random,control,33,0.597
85000,random,control,34,0.603
85000,random,control,35,0.615
85000,random,control,36,0.623
85000,random,control,37,0.635
85000,random,control,38,0.647
85000,random,control,39,0.657
85000,random,control,40,0.661
85000,random,control,41,0.675
85000,random,control,42,0.685
