seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.49,0.51
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.76,0.22999999999999998
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.935,0.06499999999999995
85000,random,apply,SC2,0.8,0.19999999999999996
85000,random,apply,SH1,0.32,0.25499999999999995
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.845,0.15500000000000003
85000,withheld,plan,SC2,0.995,0.0050000000000000044
85000,withheld,plan,SH1,0.635,0.355
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.87,0.13
85000,withheld,apply,SC2,0.93,0.06999999999999995
85000,withheld,apply,SH1,0.3,0.27499999999999997
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.735,0.265
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.88,0.10999999999999999
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.985,0.015000000000000013
85001,random,apply,SC2,0.88,0.12
85001,random,apply,SH1,0.32,0.25499999999999995
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.76,0.24
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.635,0.355
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.99,0.010000000000000009
85001,withheld,apply,SC2,0.915,0.08499999999999996
85001,withheld,apply,SH1,0.335,0.23999999999999994
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.685,0.31499999999999995
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.875,0.11499999999999999
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.98,0.020000000000000018
85002,random,apply,SC2,0.895,0.10499999999999998
85002,random,apply,SH1,0.345,0.22999999999999998
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.735,0.265
85002,withheld,plan,SC2,0.99,0.010000000000000009
85002,withheld,plan,SH1,0.77,0.21999999999999997
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.87,0.13
85002,withheld,apply,SC2,0.89,0.10999999999999999
85002,withheld,apply,SH1,0.335,0.23999999999999994
