seed,arm,split,k,hit_k
85000,random,withheld,1,0.029
85000,random,withheld,2,0.061
85000,random,withheld,3,0.111
85000,random,withheld,4,0.143
85000,random,withheld,5,0.167
85000,random,withheld,6,0.188
85000,random,withheld,7,0.215
85000,random,withheld,8,0.239
85000,random,withheld,9,0.264
85000,random,withheld,10,0.286
85000,random,withheld,11,0.311
85000,random,withheld,12,0.325
85000,random,withheld,13,0.341
85000,random,withheld,14,0.359
85000,random,withheld,15,0.391
85000,random,withheld,16,0.418
85000,random,withheld,17,0.436
85000,random,withheld,18,0.459
85000,random,withheld,19,0.48
85000,random,withheld,20,0.504
85000,random,withheld,21,0.516
85000,random,withheld,22,0.533
85000,random,withheld,23,0.554
85000,random,withheld,24,0.575
85000,random,withheld,25,0.591
85000,random,withheld,26,0.608
85000,random,withheld,27,0.631
85000,random,withheld,28,0.642
85000,random,withheld,29,0.652
85000,random,withheld,30,0.665
85000,random,withheld,31,0.672
85000,random,withheld,32,0.69
85000,random,withheld,33,0.695
85000,random,withheld,34,0.7
85000,random,withheld,35,0.713
85000,random,withheld,36,0.725
85000,random,withheld,37,0.735
85000,random,withheld,38,0.74
85000,random,withheld,39,0.748
85000,random,withheld,40,0.754
85000,random,withheld,41,0.763
85000,random,withheld,42,0.767
85000,random,withheld,43,0.776
85000,random,withheld,44,0.786
85000,random,withheld,45,0.793
85000,random,withheld,46,0.797
85000,random,withheld,47,0.805
85000,random,withheld,48,0.813
85000,random,withheld,49,0.818
85000,random,withheld,50,0.823
85000,random,withheld,51,0.83
85000,random,withheld,52,0.836
85000,random,withheld,53,0.836
85000,random,withheld,54,0.839
85000,random,withheld,55,0.843
85000,random,withheld,56,0.845
85000,random,withheld,57,0.85
85000,random,withheld,58,0.853
85000,random,withheld,59,0.857
85000,random,withheld,60,0.862
85000,random,withheld,61,0.869
85000,random,withheld,62,0.874
85000,random,withheld,63,0.881
85000,random,withheld,64,0.888
85000,random,withheld,65,0.893
85000,random,withheld,66,0.897
85000,random,withheld,67,0.905
85000,random,withheld,68,0.91
85000,random,withheld,69,0.916
85000,random,withheld,70,0.92
85000,random,withheld,71,0.923
85000,random,withheld,72,0.93
85000,random,withheld,73,0.933
85000,random,withheld,74,0.936
85000,random,withheld,75,0.943
85000,random,withheld,76,0.946
85000,random,withheld,77,0.953
85000,random,withheld,78,0.958
85000,random,withheld,79,0.962
85000,random,withheld,80,0.966
85000,random,withheld,81,0.97
85000,random,withheld,82,0.973
85000,random,withheld,83,0.973
85000,random,withheld,84,0.975
85000,random,withheld,85,0.978
85000,random,withheld,86,0.978
85000,random,withheld,87,0.979
85000,random,withheld,88,0.98
85000,random,withheld,89,0.981
85000,random,withheld,90,0.981
85000,random,withheld,91,0.982
85000,random,withheld,92,0.985
85000,random,withheld,93,0.985
85000,random,withheld,94,0.987
85000,random,withheld,95,0.989
85000,random,withheld,96,0.989
85000,random,withheld,97,0.99
85000,random,withheld,98,0.991
85000,random,withheld,99,0.992
85000,random,withheld,100,0.992
85000,random,withheld,101,0.993
85000,random,withheld,102,0.994
