seed,arm,split,hit32,correct_mass
85000,random,withheld,0.395,0.01408645634857733
85000,random,control,0.695,0.05940729299536126
85000,withheld,withheld,0.299,0.009567806499200646
85000,withheld,control,0.722,0.06743519563352365
85001,random,withheld,0.442,0.015397945528600885
85001,random,control,0.69,0.06517300438439945
85001,withheld,withheld,0.288,0.00843732394147397
85001,withheld,control,0.703,0.06395826172758794
85002,random,withheld,0.457,0.015089106188263443
85002,random,control,0.686,0.06043049222591687
85002,withheld,withheld,0.295,0.008324995245379203
85002,withheld,control,0.698,0.06675108655683243
