seed,arm,split,hit32,correct_mass
85000,random,withheld,0.669,0.07600657179119603
85000,random,control,0.625,0.03866044099699066
85000,withheld,withheld,0.599,0.055068883084242945
85000,withheld,control,0.668,0.03636905972297064
85001,random,withheld,0.693,0.07908533271081115
85001,random,control,0.613,0.03506352351198795
85001,withheld,withheld,0.584,0.06456076889569846
85001,withheld,control,0.679,0.04071930315245268
85002,random,withheld,0.734,0.05970098568688885
85002,random,control,0.588,0.029679298527416728
85002,withheld,withheld,0.593,0.05684474376776514
85002,withheld,control,0.65,0.03920611219100306
