run,operation,field,degree,n,parse_rate,accuracy
q06_mask1_ce_cf_entropy_seed0,SH1,19,3,18,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,19,4,13,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,23,2,7,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,23,3,17,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,23,4,20,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,29,2,13,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,29,3,18,1.0,0.0
q06_mask1_ce_cf_entropy_seed0,SH1,29,4,11,1.0,0.0
q06_mask1_ce_cf_seed0,AC1,5,4,6,1.0,0.16666666666666666
q06_mask1_ce_cf_seed0,AC1,7,2,3,1.0,0.0
q06_mask1_ce_cf_seed0,AC1,7,3,5,1.0,0.2
q06_mask1_ce_cf_seed0,AC1,7,4,18,1.0,0.2777777777777778
q06_mask1_ce_cf_seed0,AC1,13,2,3,1.0,0.3333333333333333
q06_mask1_ce_cf_seed0,AC1,13,3,14,1.0,0.42857142857142855
q06_mask1_ce_cf_seed0,AC1,13,4,22,1.0,0.22727272727272727
q06_mask1_ce_cf_seed0,AC1,19,2,4,1.0,0.5
q06_mask1_ce_cf_seed0,AC1,19,3,16,1.0,0.375
q06_mask1_ce_cf_seed0,AC1,19,4,17,1.0,0.11764705882352941
q06_mask1_ce_cf_seed0,AC1,23,2,6,1.0,0.3333333333333333
q06_mask1_ce_cf_seed0,AC1,23,3,25,1.0,0.24
q06_mask1_ce_cf_seed0,AC1,23,4,17,1.0,0.17647058823529413
q06_mask1_ce_cf_seed0,AC1,29,2,8,1.0,0.5
q06_mask1_ce_cf_seed0,AC1,29,3,19,1.0,0.5789473684210527
q06_mask1_ce_cf_seed0,AC1,29,4,17,1.0,0.11764705882352941
q06_mask1_ce_cf_seed0,AX1,5,4,8,1.0,0.75
q06_mask1_ce_cf_seed0,AX1,7,4,6,1.0,0.8333333333333334
q06_mask1_ce_cf_seed0,AX1,13,3,23,1.0,0.5217391304347826
q06_mask1_ce_cf_seed0,AX1,13,4,15,1.0,0.26666666666666666
q06_mask1_ce_cf_seed0,AX1,19,2,8,1.0,0.375
q06_mask1_ce_cf_seed0,AX1,19,3,17,1.0,0.35294117647058826
q06_mask1_ce_cf_seed0,AX1,19,4,22,1.0,0.5
q06_mask1_ce_cf_seed0,AX1,23,2,9,1.0,0.4444444444444444
q06_mask1_ce_cf_seed0,AX1,23,3,21,1.0,0.38095238095238093
q06_mask1_ce_cf_seed0,AX1,23,4,13,1.0,0.6923076923076923
q06_mask1_ce_cf_seed0,AX1,29,2,18,1.0,0.05555555555555555
q06_mask1_ce_cf_seed0,AX1,29,3,23,1.0,0.5217391304347826
q06_mask1_ce_cf_seed0,AX1,29,4,17,1.0,0.4117647058823529
q06_mask1_ce_cf_seed0,REV,5,4,7,1.0,1.0
q06_mask1_ce_cf_seed0,REV,7,3,1,1.0,1.0
q06_mask1_ce_cf_seed0,REV,7,4,16,1.0,0.9375
q06_mask1_ce_cf_seed0,REV,13,2,2,1.0,1.0
q06_mask1_ce_cf_seed0,REV,13,3,15,1.0,1.0
q06_mask1_ce_cf_seed0,REV,13,4,21,1.0,1.0
q06_mask1_ce_cf_seed0,REV,19,2,7,1.0,1.0
q06_mask1_ce_cf_seed0,REV,19,3,11,1.0,1.0
q06_mask1_ce_cf_seed0,REV,19,4,20,1.0,1.0
q06_mask1_ce_cf_seed0,REV,23,2,10,1.0,1.0
q06_mask1_ce_cf_seed0,REV,23,3,18,1.0,1.0
q06_mask1_ce_cf_seed0,REV,23,4,23,1.0,1.0
q06_mask1_ce_cf_seed0,REV,29,2,20,1.0,1.0
q06_mask1_ce_cf_seed0,REV,29,3,14,1.0,1.0
q06_mask1_ce_cf_seed0,REV,29,4,15,1.0,0.9333333333333333
q06_mask1_ce_cf_seed0,SC2,5,3,1,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,5,4,2,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,7,3,4,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,7,4,9,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,13,2,6,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,13,3,16,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,13,4,14,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,19,2,15,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,19,3,17,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,19,4,20,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,23,2,10,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,23,3,9,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,23,4,22,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,29,2,13,1.0,0.23076923076923078
q06_mask1_ce_cf_seed0,SC2,29,3,26,1.0,0.0
q06_mask1_ce_cf_seed0,SC2,29,4,16,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,5,3,3,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,5,4,7,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,7,2,2,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,7,3,1,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,7,4,11,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,13,2,3,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,13,3,21,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,13,4,24,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,19,2,11,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,19,3,18,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,19,4,13,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,23,2,7,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,23,3,17,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,23,4,20,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,29,2,13,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,29,3,18,1.0,0.0
q06_mask1_ce_cf_seed0,SH1,29,4,11,1.0,0.0
q06_mask1_ce_entropy_seed0,AC1,5,4,6,0.6666666666666666,0.0
q06_mask1_ce_entropy_seed0,AC1,7,2,3,1.0,0.0
q06_mask1_ce_entropy_seed0,AC1,7,3,5,1.0,0.0
q06_mask1_ce_entropy_seed0,AC1,7,4,18,0.6111111111111112,0.0
q06_mask1_ce_entropy_seed0,AC1,13,2,3,1.0,0.0
q06_mask1_ce_entropy_seed0,AC1,13,3,14,0.9285714285714286,0.0
q06_mask1_ce_entropy_seed0,AC1,13,4,22,0.5454545454545454,0.0
q06_mask1_ce_entropy_seed0,AC1,19,2,4,0.5,0.0
q06_mask1_ce_entropy_seed0,AC1,19,3,16,0.9375,0.0
q06_mask1_ce_entropy_seed0,AC1,19,4,17,0.29411764705882354,0.0
q06_mask1_ce_entropy_seed0,AC1,23,2,6,0.6666666666666666,0.0
q06_mask1_ce_entropy_seed0,AC1,23,3,25,0.92,0.0
q06_mask1_ce_entropy_seed0,AC1,23,4,17,0.17647058823529413,0.0
q06_mask1_ce_entropy_seed0,AC1,29,2,8,0.5,0.0
q06_mask1_ce_entropy_seed0,AC1,29,3,19,0.9473684210526315,0.0
q06_mask1_ce_entropy_seed0,AC1,29,4,17,0.47058823529411764,0.0
q06_mask1_ce_entropy_seed0,AX1,5,4,8,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,7,4,6,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,13,3,23,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,13,4,15,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,19,2,8,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,19,3,17,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,19,4,22,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,23,2,9,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,23,3,21,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,23,4,13,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,29,2,18,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,29,3,23,0.0,0.0
q06_mask1_ce_entropy_seed0,AX1,29,4,17,0.0,0.0
q06_mask1_ce_entropy_seed0,REV,5,4,7,1.0,0.8571428571428571
q06_mask1_ce_entropy_seed0,REV,7,3,1,1.0,1.0
q06_mask1_ce_entropy_seed0,REV,7,4,16,1.0,0.875
q06_mask1_ce_entropy_seed0,REV,13,2,2,1.0,1.0
q06_mask1_ce_entropy_seed0,REV,13,3,15,1.0,0.8666666666666667
q06_mask1_ce_entropy_seed0,REV,13,4,21,1.0,0.7142857142857143
q06_mask1_ce_entropy_seed0,REV,19,2,7,1.0,1.0
q06_mask1_ce_entropy_seed0,REV,19,3,11,1.0,0.9090909090909091
q06_mask1_ce_entropy_seed0,REV,19,4,20,1.0,0.85
q06_mask1_ce_entropy_seed0,REV,23,2,10,1.0,1.0
q06_mask1_ce_entropy_seed0,REV,23,3,18,1.0,1.0
q06_mask1_ce_entropy_seed0,REV,23,4,23,1.0,0.9565217391304348
q06_mask1_ce_entropy_seed0,REV,29,2,20,1.0,0.95
q06_mask1_ce_entropy_seed0,REV,29,3,14,1.0,0.9285714285714286
q06_mask1_ce_entropy_seed0,REV,29,4,15,1.0,0.8
q06_mask1_ce_entropy_seed0,SC2,5,3,1,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,5,4,2,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,7,3,4,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,7,4,9,1.0,0.1111111111111111
q06_mask1_ce_entropy_seed0,SC2,13,2,6,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,13,3,16,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,13,4,14,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,19,2,15,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,19,3,17,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,19,4,20,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,23,2,10,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,23,3,9,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,23,4,22,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,29,2,13,1.0,0.15384615384615385
q06_mask1_ce_entropy_seed0,SC2,29,3,26,1.0,0.0
q06_mask1_ce_entropy_seed0,SC2,29,4,16,1.0,0.0
q06_mask1_ce_entropy_seed0,SH1,5,3,3,0.6666666666666666,0.0
q06_mask1_ce_entropy_seed0,SH1,5,4,7,0.14285714285714285,0.0
q06_mask1_ce_entropy_seed0,SH1,7,2,2,1.0,0.0
q06_mask1_ce_entropy_seed0,SH1,7,3,1,1.0,0.0
q06_mask1_ce_entropy_seed0,SH1,7,4,11,0.2727272727272727,0.0
q06_mask1_ce_entropy_seed0,SH1,13,2,3,0.0,0.0
q06_mask1_ce_entropy_seed0,SH1,13,3,21,0.2857142857142857,0.0
q06_mask1_ce_entropy_seed0,SH1,13,4,24,0.2916666666666667,0.0
q06_mask1_ce_entropy_seed0,SH1,19,2,11,0.09090909090909091,0.0
q06_mask1_ce_entropy_seed0,SH1,19,3,18,0.3888888888888889,0.0
q06_mask1_ce_entropy_seed0,SH1,19,4,13,0.0,0.0
q06_mask1_ce_entropy_seed0,SH1,23,2,7,0.14285714285714285,0.0
q06_mask1_ce_entropy_seed0,SH1,23,3,17,0.5882352941176471,0.0
q06_mask1_ce_entropy_seed0,SH1,23,4,20,0.0,0.0
q06_mask1_ce_entropy_seed0,SH1,29,2,13,0.0,0.0
q06_mask1_ce_entropy_seed0,SH1,29,3,18,0.3333333333333333,0.0
q06_mask1_ce_entropy_seed0,SH1,29,4,11,0.18181818181818182,0.0
q06_mask1_ce_seed0,AC1,5,4,6,0.8333333333333334,0.0
q06_mask1_ce_seed0,AC1,7,2,3,1.0,0.0
q06_mask1_ce_seed0,AC1,7,3,5,1.0,0.0
q06_mask1_ce_seed0,AC1,7,4,18,0.8333333333333334,0.0
q06_mask1_ce_seed0,AC1,13,2,3,1.0,0.0
q06_mask1_ce_seed0,AC1,13,3,14,1.0,0.0
