seed,arm,hit32,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
83000,random,0.619,3.9468861396112978,56.04597231135396,0.038346557531304615,0.3033518418862072
83000,diverse,0.636,3.962313287137656,57.08808356904849,0.04482556040107315,0.32070936620713714
83001,random,0.619,3.917489620036741,54.83440032798178,0.04090261774163668,0.293730074393119
83001,diverse,0.599,3.913197091283272,54.674477797374685,0.042312634908935214,0.32185128717808636
83002,random,0.614,3.9043288672879872,55.38698326532904,0.04643116455750445,0.31149112958590747
83002,diverse,0.609,3.9893840887220886,58.28070410490414,0.04244288494321149,0.3308362533161774
83003,random,0.614,3.938590570704865,55.34507374799924,0.03825828082073302,0.31876820490711505
83003,diverse,0.594,3.9573611554790533,56.62090897950993,0.04099013943978765,0.33470898646021763
83004,random,0.621,3.976813746355252,57.157876652459485,0.03719338754250465,0.30772656135518495
83004,diverse,0.609,4.004676043665951,59.281547350107736,0.040297174719721676,0.3366123509638707
83005,random,0.606,3.994478814360496,57.56123505390925,0.03401236697310377,0.30088191551637167
83005,diverse,0.631,3.995310563232507,59.28401588098643,0.04104048924372557,0.3279384744396358
