seed,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
83000,random,s4c-0685924736fd868f43e25774,0685924736fd868f43e257741f312611132246a15b03d04e8f8b2b7795edeec0,5,2,4.0809505074348,59.20171478508922,0.06252568471225152,0.6809684973785086
83000,random,s4c-069136fb366513b234e1045d,069136fb366513b234e1045d9bcf0ffa62cd7dd8456e3289d56f26b58ea001fb,3,3,2.413687445389526,11.175092807529937,0.15679236531623678,0.20840357538022974
83000,random,s4c-0697830c82af8413bb2b3290,0697830c82af8413bb2b3290b09b8302c5bf6784cf288b0d368841a6d8f499f3,1,1,2.4058505909344134,11.087857503338022,0.36140286094506235,-0.0
83000,random,s4c-06b27397c50dc8a220af3e5b,06b27397c50dc8a220af3e5b1ee7b81b2d511c23d65ee68e5a737e8351b84f74,15,3,4.17151816860401,64.8137756919914,0.027276233586920183,0.6664409623145043
83000,random,s4c-074f8aa383ad5f8cf4889d7b,074f8aa383ad5f8cf4889d7b10f8a1aecb68c01162c223a318b722c2a9052b02,41,1,3.593454733644527,36.3594714870708,0.005161147134202078,-0.0
83000,random,s4c-0753d58f6be3f04efebdd85f,0753d58f6be3f04efebdd85f2e74a722030858255fa981d91383a5053b47aced,1,1,4.140658722259945,62.84420469421357,0.07586986903547525,-0.0
83000,random,s4c-07e05ff22697ed8b1adfc2e0,07e05ff22697ed8b1adfc2e0591738c8785350b4b567b5db0da41ff6f64223af,2,1,4.3326842233636835,76.14841183387578,0.03347518342705647,-0.0
83000,random,s4c-08011249ad2b340d934a1660,08011249ad2b340d934a166026efb5d68161d8941a94d45a607a94f1fbceb2e8,26,1,3.9071692651460177,49.75790100401465,0.011785752729423537,-0.0
83000,random,s4c-08250cda874c9a0529677403,08250cda874c9a052967740391a4ecf1b8b8bd3cdebd3b44a2106d5c3deb3dab,17,3,4.172791118592099,64.89633292145068,0.0344730459867278,0.7804873113266457
83000,random,s4c-08712bfcda963bb928b06b4b,08712bfcda963bb928b06b4bd2713b8a413c99f187721fbfc5948edc0552a1e1,77,1,4.202006883405507,66.82029711424677,0.00305525608454455,-0.0
83000,random,s4c-089bef14b1df30acdf17a349,089bef14b1df30acdf17a3497ca5c655b727575deee40e32230f7b557b276f53,11,1,4.185731071651018,65.74154513265634,0.023474879889599686,-0.0
83000,random,s4c-08b7a09b67fbf410c5fbef2b,08b7a09b67fbf410c5fbef2b3746a50d598c9c25c0e358d0e984a703270bdef5,77,1,4.217573379040766,67.86859295580969,0.0026074166603721376,-0.0
83000,random,s4c-08e62936b2de9d9193d0b42d,08e62936b2de9d9193d0b42d20bd4c89cc5fe7f0712fd2c474f7027e3d24ea6e,23,2,4.266953551355751,71.30408018334218,0.01734320788301822,0.47689064956588384
83000,random,s4c-08ebf32b2d24baa24baac25e,08ebf32b2d24baa24baac25e708923d77d799ec87cff86b7def74937a047316c,51,1,4.10245306150123,60.48848773154568,0.004694884048977566,-0.0
83000,random,s4c-094edd032d19da71895bb42a,094edd032d19da71895bb42a4d9608f96e4b29941c184df487da59403434035a,13,3,3.973247773040869,53.1568923144898,0.02904495820370622,0.48368286384240317
83000,random,s4c-0979efd3abdfd450f196d4aa,0979efd3abdfd450f196d4aa07546eb913b924e8b9625cb47d70d874551254b1,10,1,4.249633989683935,70.07975773776914,0.0250786981319895,-0.0
83000,random,s4c-098652fd2327637313000229,098652fd2327637313000229a247a3e4ed536a9ad1aeac5058602aabf4424f7d,17,3,3.2451408191588427,25.665323975101664,0.014341130261460274,0.12616916972633369
83000,random,s4c-0a60d4fe645cb7057c92d2e7,0a60d4fe645cb7057c92d2e77abcdc7f69495dbbb9d6c50cdd963384debf2f32,94,1,4.226255798904249,68.46042211212058,0.001449234483505075,-0.0
83000,random,s4c-0abd952ac12422c37f5eb698,0abd952ac12422c37f5eb698803b9fe410d27967803aba7c5d2af9c86c3756ec,57,2,3.061784651676811,21.36565340683066,0.0016657674091881856,0.48818750880835593
83000,random,s4c-0ac4d1beed407f6e9257fb6b,0ac4d1beed407f6e9257fb6bff52c5d65e1d3fd6858c6627b31d6f34fccee714,34,1,4.324886056618131,75.55690316015715,0.009210889305922404,-0.0
83000,random,s4c-0b8fd3788ee4b761cc348f71,0b8fd3788ee4b761cc348f7182a94cea4f4120f3f9a4ee73080e5928bf1f889a,12,1,4.221283152225991,68.12083763806396,0.023445437622407514,-0.0
83000,random,s4c-0b9406efeeeb4c408ee15805,0b9406efeeeb4c408ee15805e9611c363ef0ca1d64fb64f73d491d2c715ce33d,12,3,3.905353266356974,49.66762271348951,0.031068241260834698,0.30534101072392694
83000,random,s4c-0ba58763a7e2762cef11ba15,0ba58763a7e2762cef11ba155bc48b38fc1edebad488de9761c4856a8ec9480b,30,1,4.184391972987837,65.65356963453605,0.01036246514234826,-0.0
83000,random,s4c-0bb561e6ed621025a7176528,0bb561e6ed621025a71765282a3d12de6727d5f283d711ce8af4977e214f3032,45,1,3.972475590991171,53.11586136014881,0.004943161646141387,-0.0
83000,random,s4c-0bb734e7a5b773261caecdec,0bb734e7a5b773261caecdec82d8a0191ee3f44d1d3552e3e45a1a3945c8086f,7,1,4.22919950392483,68.66224631011504,0.029069624793882542,-0.0
83000,random,s4c-0bf2fba9b403cc904027f9c5,0bf2fba9b403cc904027f9c5eede272eb8c67e2cb31996cda72da70bd7e1765c,94,1,4.129873466395614,62.170055835795296,0.001215365455337568,-0.0
83000,random,s4c-0c2b62b32cf087a3ec1e2ed2,0c2b62b32cf087a3ec1e2ed2c2fc5d72b595844a805e9d1ee2ad1bdba6736413,13,1,4.312320480220703,74.61342719484979,0.022149085975455937,-0.0
83000,random,s4c-0c42e0af95ec20e9154fadeb,0c42e0af95ec20e9154fadeb2f30a775477f842ba2858bf490b6b81bc7fddfab,87,1,3.460361590072527,31.828483297757113,0.0006336810814776634,-0.0
