endpoint,splits,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_two_sided,holm_adjusted_p,holm_reject_0p05,positive_replicates
final_b_depth3_hit32,final_b,-16.01666666666667,-19.104516982015497,-12.92881635131784,4.243694777251847e-05,8.487389554503694e-05,True,0
final_c_depth3_hit32,final_c,26.133333333333336,24.911893633699915,27.354773032966754,3.758337210428684e-08,1.8791686052143422e-07,True,6
final_d_depth3_hit32,final_d,-11.799999999999999,-13.087003498081874,-10.512996501918128,2.560322905091055e-06,1.024129162036422e-05,True,0
transfer_bcd_depth2_hit32,final_b_depth2+final_c_depth2+final_d_depth2,0.0,0.0,0.0,1.0,1.0,False,0
transfer_bcd_depth4_hit32,final_b_depth4+final_c_depth4+final_d_depth4,5.2,4.454317903794116,5.945682096205884,9.920326524562839e-06,2.9760979573688515e-05,True,6
