replicate,branch,max_drop,max_drop_pp,passes_le_002,apply_AC1,apply_AX1,apply_REV,apply_SC2,apply_SH1,plan,plan_AC1,plan_AX1,plan_REV,plan_SC2,plan_SH1
0,atomic_control,0.11999999999999994,11.999999999999995,False,0.0,0.0,0.0,0.0,0.11999999999999994,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0050000000000000044
0,composition_distill,0.36,36.0,False,0.0,0.0,0.0,0.0050000000000000044,0.36,0.027000000000000024,0.0,0.0,0.06000000000000005,0.0050000000000000044,0.06999999999999995
1,atomic_control,0.019999999999999907,1.9999999999999907,True,0.0,0.0,0.0,0.0,0.019999999999999907,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0050000000000000044
1,composition_distill,0.30499999999999994,30.499999999999993,False,0.0,0.0,0.0,0.0050000000000000044,0.30499999999999994,0.02400000000000002,0.0,0.0,0.06000000000000005,0.010000000000000009,0.050000000000000044
2,atomic_control,0.04499999999999993,4.499999999999993,False,0.0,0.0,0.0,0.0,0.04499999999999993,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0050000000000000044
2,composition_distill,0.29499999999999993,29.499999999999993,False,0.0,0.0,0.0,0.0050000000000000044,0.29499999999999993,0.013000000000000012,0.0,0.0,0.025000000000000022,0.010000000000000009,0.030000000000000027
3,atomic_control,0.11999999999999994,11.999999999999995,False,0.0,0.0,0.0,0.0050000000000000044,0.11999999999999994,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0050000000000000044
3,composition_distill,0.25999999999999995,25.999999999999996,False,0.0,0.0,0.0,0.0050000000000000044,0.25999999999999995,0.019000000000000017,0.0,0.0,0.010000000000000009,0.015000000000000013,0.06999999999999995
4,atomic_control,0.019999999999999907,1.9999999999999907,True,0.0,0.0,0.0,0.0,0.019999999999999907,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0050000000000000044
4,composition_distill,0.24499999999999994,24.499999999999993,False,0.0,0.0,0.0,0.010000000000000009,0.24499999999999994,0.01200000000000001,0.0,0.0,0.0050000000000000044,0.0050000000000000044,0.050000000000000044
5,atomic_control,0.03499999999999992,3.499999999999992,False,0.0,0.0,0.0,0.0,0.03499999999999992,0.0,0.0,0.0,0.0,0.0,0.0
5,composition_distill,0.23999999999999994,23.999999999999993,False,0.0,0.0,0.0,0.0050000000000000044,0.23999999999999994,0.026000000000000023,0.0,0.0,0.06499999999999995,0.010000000000000009,0.05499999999999994
