seed,arm,split,hit32,correct_mass
85000,random,withheld,0.704,0.05822829998868469
85000,random,control,0.555,0.031830272112477284
85000,withheld,withheld,0.508,0.05691741625320334
85000,withheld,control,0.624,0.032767530343446226
85001,random,withheld,0.684,0.06528865037972273
85001,random,control,0.604,0.03518565505087644
85001,withheld,withheld,0.46,0.06118621858277829
85001,withheld,control,0.624,0.035446127569519335
85002,random,withheld,0.707,0.07015132023203749
85002,random,control,0.585,0.031911222440670836
85002,withheld,withheld,0.461,0.04545978482362585
85002,withheld,control,0.62,0.028811462820664813
