seed,arm,split,hit32,correct_mass
85000,random,withheld,0.607,0.049619268596057614
85000,random,control,0.593,0.04497954570933564
85000,withheld,withheld,0.539,0.043047791346456615
85000,withheld,control,0.667,0.049929668317776656
85001,random,withheld,0.613,0.04283034402508601
85001,random,control,0.606,0.041084103770931094
85001,withheld,withheld,0.536,0.04222912326094239
85001,withheld,control,0.639,0.03874338897834888
85002,random,withheld,0.653,0.04457405386297763
85002,random,control,0.591,0.03669062942454878
85002,withheld,withheld,0.491,0.04454793021170561
85002,withheld,control,0.65,0.04645554396523483
