seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.815,0.18500000000000005
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.835,0.15500000000000003
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.96,0.040000000000000036
85000,random,apply,SC2,0.91,0.08999999999999997
85000,random,apply,SH1,0.305,0.26999999999999996
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.495,0.505
85000,withheld,plan,SC2,0.99,0.010000000000000009
85000,withheld,plan,SH1,0.56,0.42999999999999994
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.985,0.015000000000000013
85000,withheld,apply,SC2,0.86,0.14
85000,withheld,apply,SH1,0.335,0.23999999999999994
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.47,0.53
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.685,0.30499999999999994
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.94,0.06000000000000005
85001,random,apply,SC2,0.8,0.19999999999999996
85001,random,apply,SH1,0.305,0.26999999999999996
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.535,0.46499999999999997
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.745,0.245
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.995,0.0050000000000000044
85001,withheld,apply,SC2,0.815,0.18500000000000005
85001,withheld,apply,SH1,0.27,0.30499999999999994
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.48,0.52
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.88,0.10999999999999999
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.72,0.28
85002,random,apply,SC2,0.845,0.15500000000000003
85002,random,apply,SH1,0.32,0.25499999999999995
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.33,0.6699999999999999
85002,withheld,plan,SC2,0.99,0.010000000000000009
85002,withheld,plan,SH1,0.715,0.275
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.88,0.12
85002,withheld,apply,SC2,0.87,0.13
85002,withheld,apply,SH1,0.31,0.26499999999999996
