split,seed,task_id,atomic_rank,composition_rank,hit32_delta,correct_mass_delta
capacity_d3_train,0,3c0c656d6fe3b7a813f5,7,5,0,0.12224934541673804
capacity_d3_train,0,3c619949306344745c99,36,2,1,0.1536189056731988
capacity_d3_train,0,3d51c78a744af0eb4145,57,5,1,0.04612437690817727
capacity_d3_train,0,3dc689d1874eaf326108,5,5,0,0.06838838012232114
capacity_d3_train,0,3df9b67792216b4baf31,52,4,1,0.1381221506849835
capacity_d3_train,0,3e948e1f925e2abf2889,9,1,0,0.11062300076261117
capacity_d3_train,0,3f88042c240da894c8d2,115,6,1,0.05998732951486514
capacity_d3_train,0,40ce564b86a6bf8c99c6,6,26,0,-0.0017156098966269132
capacity_d3_train,0,4177ce195be7da930009,56,41,0,0.00430112533568531
capacity_d3_train,0,41cf5e9a728737de3d5d,104,10,1,0.034175212308780824
capacity_d3_train,0,426b6ff6a33583fffa5f,6,4,0,0.08699775260599234
capacity_d3_train,0,4347c6a63c1cddba9649,9,12,0,0.055800230160443526
capacity_d3_train,0,43c334b9ec0fe01d6d3c,55,8,1,0.045027471358597485
capacity_d3_train,0,4688ab7b6cff96e5f9a8,41,1,1,0.30466013867815234
capacity_d3_train,0,46f5db171c77ea7f89a7,2,16,0,-0.038977200609414
capacity_d3_train,0,473bc56ab16b2aa3d359,21,13,0,0.03237653459970391
capacity_d3_train,0,478d40653e55b879cde9,85,6,1,0.033892651713498
capacity_d3_train,0,47bd3fdb174ab3c7d185,67,4,1,0.04780764691111479
capacity_d3_train,0,48ffd3b0985c932655ea,31,2,0,0.20292766461985137
capacity_d3_train,0,4abd804c057d213572e6,9,1,0,0.1678145109053079
capacity_d3_train,0,4bb39f3f29512961ae8d,119,5,1,0.04994469950948246
capacity_d3_train,0,4d444d81921e635de3c3,63,2,1,0.1758066542112545
capacity_d3_train,0,4e070a2e6ca292e55f15,20,72,-1,-0.00017517153374476963
capacity_d3_train,0,4ff939437e1e5f57f2cc,20,2,0,0.08808431139819231
capacity_d3_train,0,50bc627a462ef090e93e,114,6,1,0.045130435902701875
capacity_d3_train,0,5147f318facdd8c522dd,94,12,1,0.02385311896851673
capacity_d3_train,0,51603dc9f3af5acf14e7,72,24,1,0.007005353319740395
capacity_d3_train,0,520f63147e1130b70955,24,2,0,0.1367718832087601
capacity_d3_train,0,5296a098a97803cf1920,58,20,1,0.014253349311380031
capacity_d3_train,0,53559acdca4279c04b22,19,4,0,0.08279563698719017
capacity_d3_train,0,53f34545e136ac7e7355,111,20,1,0.008701878441769284
capacity_d3_train,0,553129550aa5022eb7c5,24,21,0,0.024758052277651866
capacity_d3_train,0,55bd7a251a4084acafac,75,15,1,0.01941398767538595
capacity_d3_train,0,55f6d0482254eae15efc,83,10,1,0.07066015904188502
capacity_d3_train,0,56fd755e55e8be4c4bbb,4,21,0,-0.02832867752911002
capacity_d3_train,0,5a7b1a03a5e12b4bff3d,63,1,1,0.11616753276527002
capacity_d3_train,0,5a80135a0e601c0a9a10,81,2,1,0.08345470741314663
capacity_d3_train,0,5bc725ebb4eea4928ab2,2,4,0,-0.06735958994717976
capacity_d3_train,0,5d11af35201060ddd790,82,13,1,0.0382760170899899
capacity_d3_train,0,5d2945531ffaaa786f75,7,13,0,0.01994109628826221
capacity_d3_train,0,5d8013f4774a39588ff1,49,4,1,0.063743482218501
capacity_d3_train,0,603464b653317520a6ac,42,33,0,0.0068842696798202905
capacity_d3_train,0,621e7de265630fc4a215,17,35,-1,0.017344229272532867
capacity_d3_train,0,65665d4cf6380759d018,14,3,0,0.12478924646495793
capacity_d3_train,0,66b870c4bfb03aab85ef,92,2,1,0.1053372747831723
capacity_d3_train,0,66c5656476a7eabab725,50,2,1,0.17659851148768707
capacity_d3_train,0,67517a4400f22e1310bf,113,4,1,0.06296167032020569
capacity_d3_train,0,6770c86bd0257bdbd6fd,114,4,1,0.07414575445836809
capacity_d3_train,0,6814aaefdbd1c5c5d76f,83,1,1,0.25003092109564107
capacity_d3_train,0,691ab46cf31e326fe94b,66,6,1,0.04560113964641125
capacity_d3_train,0,6966f0e0d84af0d3e26a,7,11,0,0.030274237732764955
capacity_d3_train,0,6ac3d805a41af1de25aa,11,2,0,0.13407559109489478
capacity_d3_train,0,6b0fc842aa791050d5a2,37,22,1,0.027510912475576042
capacity_d3_train,0,6b2082d76b6295396599,88,1,1,0.12445564037084027
capacity_d3_train,0,6ebf70bf0789bbb0a172,44,5,1,0.07344668139126409
capacity_d3_train,0,70f79fa7550b1c802718,1,2,0,-0.19276159400410575
capacity_d3_train,0,71c90e4f7b4c38ea2070,21,18,0,0.01402444151870796
capacity_d3_train,0,73c69baf34574eafdd3c,97,9,1,0.03646694812245269
capacity_d3_train,0,742713491539bda4dcec,55,3,1,0.06722038923706954
capacity_d3_train,0,747fba69712a66dd5bfe,1,33,-1,-0.6908133627372923
capacity_d3_train,0,76ed5db51568ba9299ed,60,2,1,0.07818249341115559
capacity_d3_train,0,776ea3e581a50313fe73,24,18,0,0.01819220204530798
capacity_d3_train,0,777aaf9441af06dc92e6,6,3,0,0.10456275297241953
capacity_d3_train,0,77c24898fe0d48982f7f,22,6,0,0.042585896001128734
capacity_d3_train,0,7941b3bf4a4e8bdf56fc,8,43,-1,0.0017160899741488164
capacity_d3_train,0,7969374485db79895e1c,106,12,1,0.02746219865058981
capacity_d3_train,0,7a9acbe0d2c9150d7fd3,35,2,1,0.11384882957672265
capacity_d3_train,0,7aabbd8f4cbc661ad238,8,8,0,0.03409400957888327
capacity_d3_train,0,7c198a424a93424a6beb,19,1,0,0.17079161177874885
capacity_d3_train,0,7ccae6e5d21dd639eed8,52,2,1,0.09245617731824946
capacity_d3_train,0,8000cccda578e70a1c06,116,5,1,0.05342226826925341
capacity_d3_train,0,815abc764865a9c513c3,119,4,1,0.04166534728522029
