split,seed,k,n,atomic_control,composition,delta
capacity_d3_train,0,75,300,0.7833333333333333,0.9933333333333333,0.21
capacity_d3_train,1,75,300,0.8,0.9966666666666667,0.19666666666666666
capacity_d3_train,2,75,300,0.82,1.0,0.18
capacity_d3_train,0,76,300,0.7866666666666666,0.9933333333333333,0.20666666666666667
capacity_d3_train,1,76,300,0.8,1.0,0.2
capacity_d3_train,2,76,300,0.8266666666666667,1.0,0.17333333333333334
capacity_d3_train,0,77,300,0.7966666666666666,0.9933333333333333,0.19666666666666666
capacity_d3_train,1,77,300,0.8066666666666666,1.0,0.19333333333333333
capacity_d3_train,2,77,300,0.8333333333333334,1.0,0.16666666666666666
capacity_d3_train,0,78,300,0.8033333333333333,0.9933333333333333,0.19
capacity_d3_train,1,78,300,0.81,1.0,0.19
capacity_d3_train,2,78,300,0.8433333333333334,1.0,0.15666666666666668
capacity_d3_train,0,79,300,0.82,0.9933333333333333,0.17333333333333334
capacity_d3_train,1,79,300,0.82,1.0,0.18
capacity_d3_train,2,79,300,0.8466666666666667,1.0,0.15333333333333332
capacity_d3_train,0,80,300,0.82,0.9933333333333333,0.17333333333333334
capacity_d3_train,1,80,300,0.8266666666666667,1.0,0.17333333333333334
capacity_d3_train,2,80,300,0.8466666666666667,1.0,0.15333333333333332
capacity_d3_train,0,81,300,0.83,0.9933333333333333,0.16333333333333333
capacity_d3_train,1,81,300,0.8333333333333334,1.0,0.16666666666666666
capacity_d3_train,2,81,300,0.85,1.0,0.15
capacity_d3_train,0,82,300,0.8366666666666667,0.9933333333333333,0.15666666666666668
capacity_d3_train,1,82,300,0.84,1.0,0.16
capacity_d3_train,2,82,300,0.8666666666666667,1.0,0.13333333333333333
capacity_d3_train,0,83,300,0.8433333333333334,0.9933333333333333,0.15
capacity_d3_train,1,83,300,0.8433333333333334,1.0,0.15666666666666668
capacity_d3_train,2,83,300,0.8666666666666667,1.0,0.13333333333333333
capacity_d3_train,0,84,300,0.8433333333333334,0.9933333333333333,0.15
capacity_d3_train,1,84,300,0.8466666666666667,1.0,0.15333333333333332
capacity_d3_train,2,84,300,0.8833333333333333,1.0,0.11666666666666667
capacity_d3_train,0,85,300,0.8566666666666667,0.9933333333333333,0.13666666666666666
capacity_d3_train,1,85,300,0.85,1.0,0.15
capacity_d3_train,2,85,300,0.8933333333333333,1.0,0.10666666666666667
capacity_d3_train,0,86,300,0.86,0.9933333333333333,0.13333333333333333
capacity_d3_train,1,86,300,0.8533333333333334,1.0,0.14666666666666667
