replicate,arm,hit32,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,0.435,0.8037789209464081,2.486945498555028,0.02262757918552178,0.10410380768650276
0,composition_distill,0.737,3.9080387108554033,55.71839085560765,0.06530465918136069,0.38554149505335134
1,atomic_control,0.457,0.7570044679857317,2.365258450812679,0.02215832917213144,0.10780007375296316
1,composition_distill,0.724,3.8811346765702477,53.96316312467766,0.06581924780931513,0.39168987098109664
2,atomic_control,0.454,0.7901003617192829,2.444143322035523,0.022793367017567068,0.10594001233030098
2,composition_distill,0.714,3.922970854579014,56.30911681237626,0.06550720621496356,0.38553378595646864
3,atomic_control,0.46,0.7456128435746796,2.3235668657176194,0.02238202896476519,0.11151760365554286
3,composition_distill,0.752,3.8914185515486404,55.29301474975707,0.06658907982528497,0.38440287584086474
4,atomic_control,0.459,0.7578364651758582,2.3591594193976153,0.022423489755086144,0.10798853976530301
4,composition_distill,0.729,3.87215106872615,54.14460142655557,0.06706696640273847,0.391601879380881
5,atomic_control,0.454,0.7328181205544961,2.29619439057757,0.022346079780458036,0.11822177432759026
5,composition_distill,0.707,3.8764485262385535,54.38935561379686,0.06917069192149035,0.3963979717209327
