replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-043c6d9a3043cf03fd2a4fea,043c6d9a3043cf03fd2a4fea22650fba7a546ebffa8f91c564ed9066731a013b,33,1,0.6834965980669756,1.9807916698796577,1.9521429454495773e-10,-0.0
0,atomic_control,s4c-043f7a50ff713905e1a13065,043f7a50ff713905e1a13065c6570ecc4f5b5c64c74728bb0ec22f8aee5037b6,39,3,1.3383869824010024,3.812888286553545,3.276363900184535e-08,0.5565284331974673
0,atomic_control,s4c-04d7ee4876c47782e1f53816,04d7ee4876c47782e1f53816664f24f102f2ece8b98459c2fd033fc0e0b7a0a1,8,1,0.08233109322220244,1.0858152563930608,2.385557339846074e-06,-0.0
0,atomic_control,s4c-04debe679d9f9963e0082568,04debe679d9f9963e00825686af0b19f2bdd59a21e03311a584775d5e4076e21,59,1,0.2349953518839282,1.2649028893037786,1.023921807226458e-10,-0.0
0,atomic_control,s4c-05194a8034fe4f2b3fda12fd,05194a8034fe4f2b3fda12fddfde7d343183181f50c8fb72d4c7422977833218,11,1,0.6165698232051798,1.8525625136988884,0.0001463772764489377,-0.0
0,atomic_control,s4c-059d89c7826e613600cf0841,059d89c7826e613600cf0841581a33df961b7088bd8514afca5533c564c28835,70,2,0.5362901145062121,1.7096524675459368,2.0159392077185596e-11,0.6305059466804541
0,atomic_control,s4c-05d671823e04cfd8e4f57fc6,05d671823e04cfd8e4f57fc6e65b06c8f8f0de500ea49dab8f87a57ee4eff3e5,34,1,1.5530750397993867,4.725980439290334,2.1331932359971498e-07,-0.0
0,atomic_control,s4c-05d85cabb4d3511cb41d1d65,05d85cabb4d3511cb41d1d656cf287023d5a931d7de72ded4ba454c85533cb93,47,3,1.1774865593632304,3.2462047974794137,2.6955643290825634e-08,0.0860481064763344
0,atomic_control,s4c-05de6fcf4efebc91fa8ed4ac,05de6fcf4efebc91fa8ed4ac03f13c291737c291a5212fc61383a033ce97ad6c,13,1,0.3505672057663753,1.4198726802057564,4.4475319509232626e-05,-0.0
0,atomic_control,s4c-05f93b14d38ee18f9d8385d8,05f93b14d38ee18f9d8385d81f3748a7d5d8cbc9b756812f01ec19b3bd987714,9,1,0.055052506509578464,1.0565960913918304,7.33647097229327e-07,-0.0
0,atomic_control,s4c-06023458ae2216c75c4bf4f3,06023458ae2216c75c4bf4f36c713c5949008ce662f35eb357ab59821d0c8c02,59,1,1.2135487277873958,3.3654063977229747,8.725539384975147e-10,-0.0
0,atomic_control,s4c-06113afcf91bec850a2e02f7,06113afcf91bec850a2e02f7a66578a6aca8adaa4bef01c504930aa9532600f7,80,3,0.7428674463355356,2.101954121998063,1.755324741808677e-11,0.6812560673265743
0,atomic_control,s4c-0663a0d24cbee6bcd9ef6692,0663a0d24cbee6bcd9ef669277d680ab61f24119b134ff5e408441fba2e47b16,45,2,0.2975478700251868,1.3465528333280075,1.1045492423978095e-08,0.48851754543902837
0,atomic_control,s4c-0666e505fa4dac3cae396d4b,0666e505fa4dac3cae396d4bd0cbbb9fa856b90b2c17ea5ce24bc6c01d3c4847,11,1,0.22698331745137343,1.2548089343546025,3.713298870816492e-05,-0.0
0,atomic_control,s4c-06b3ea67874bb556344543a5,06b3ea67874bb556344543a5489b4b063c3839e284f0d20463f29b7a1bf4e159,33,1,1.59845649557864,4.945393293981332,2.334701332583502e-07,-0.0
0,atomic_control,s4c-06e318723895e77cab0d5caf,06e318723895e77cab0d5caf5d24a20644380ec0ac69fd1c426ee1a55a33f24c,15,1,1.122592965491025,3.0728115766159467,8.688569349141362e-05,-0.0
0,atomic_control,s4c-076d4af6c9629657f17dce7b,076d4af6c9629657f17dce7bbda99bd033240e8b0f36937cf03e7b7a4984bd6c,51,1,0.8770814152289066,2.4038735494542625,7.310140164668708e-09,-0.0
0,atomic_control,s4c-07910b16d4fcb1e9059853c8,07910b16d4fcb1e9059853c8267e4c83d89abc452b27fc94c18cb958ec1dd6e5,14,1,0.7748592318758978,2.1702865985063617,2.4663553875749194e-05,-0.0
0,atomic_control,s4c-08383967bf5fb6bada102299,08383967bf5fb6bada102299997a50900f764effd77f0f15cb587fce35db55ad,49,1,0.03127275201672853,1.0317668820094148,3.2755713970717085e-14,-0.0
0,atomic_control,s4c-084ee8842d89c1b1bbdb3ab8,084ee8842d89c1b1bbdb3ab8b7fdbbd3723556503a78a43dde7b165a3b7ce75d,25,3,0.09015282227337684,1.0943415106843948,3.292223209200194e-10,0.584287232639273
0,atomic_control,s4c-085530af32757ce78f459c89,085530af32757ce78f459c8905f99f6b8b2dd0c73eb6263e9fc7b22b9ca9d036,59,3,0.7656007286376685,2.1502857249549825,3.1513666074023035e-10,0.02653139792122764
