seed,arm,selected_trajectories,removed_trajectories,selected_with_excluded_pairs,composition_target_tokens_per_epoch
85000,random,750,450,130,41922
85000,withheld,750,450,0,41922
85001,random,750,450,130,41925
85001,withheld,750,450,0,41925
85002,random,750,450,118,42011
85002,withheld,750,450,0,42011
