seed,arm,split,hit32,correct_mass
85000,random,withheld,0.59,0.02658183693727955
85000,random,control,0.589,0.045178868871472544
85000,withheld,withheld,0.262,0.017669215596243966
85000,withheld,control,0.69,0.05481205119011235
85001,random,withheld,0.621,0.027067421686415846
85001,random,control,0.609,0.04227260838382645
85001,withheld,withheld,0.241,0.017464416332926985
85001,withheld,control,0.7,0.05375266806853765
85002,random,withheld,0.565,0.026221344553042293
85002,random,control,0.593,0.04691184935086587
85002,withheld,withheld,0.26,0.01752694963920657
85002,withheld,control,0.686,0.05731749033788198
