seed,arm,split,hit32,correct_mass
85000,random,withheld,0.523,0.013222087235340949
85000,random,control,0.616,0.0410358618951408
85000,withheld,withheld,0.28,0.00782182513377712
85000,withheld,control,0.654,0.048276090787831724
85001,random,withheld,0.58,0.01485757504963534
85001,random,control,0.637,0.04162264739378225
85001,withheld,withheld,0.315,0.008471032848749862
85001,withheld,control,0.666,0.05017636127115897
85002,random,withheld,0.512,0.014095852305277393
85002,random,control,0.637,0.04515551017769514
85002,withheld,withheld,0.261,0.0074292752181476926
85002,withheld,control,0.684,0.052142060344953445
