seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.62,0.38
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.82,0.17000000000000004
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.935,0.06499999999999995
85000,random,apply,SC2,0.86,0.14
85000,random,apply,SH1,0.32,0.25499999999999995
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.395,0.605
85000,withheld,plan,SC2,0.995,0.0050000000000000044
85000,withheld,plan,SH1,0.835,0.15500000000000003
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.945,0.05500000000000005
85000,withheld,apply,SC2,0.865,0.135
85000,withheld,apply,SH1,0.335,0.23999999999999994
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.53,0.47
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.85,0.14
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,1.0,0.0
85001,random,apply,SC2,0.825,0.17500000000000004
85001,random,apply,SH1,0.33,0.24499999999999994
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.475,0.525
85001,withheld,plan,SC2,0.99,0.010000000000000009
85001,withheld,plan,SH1,0.77,0.21999999999999997
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.945,0.05500000000000005
85001,withheld,apply,SC2,0.855,0.14500000000000002
85001,withheld,apply,SH1,0.31,0.26499999999999996
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.465,0.5349999999999999
85002,random,plan,SC2,0.99,0.010000000000000009
85002,random,plan,SH1,0.885,0.10499999999999998
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.95,0.050000000000000044
85002,random,apply,SC2,0.785,0.21499999999999997
85002,random,apply,SH1,0.31,0.26499999999999996
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.495,0.505
85002,withheld,plan,SC2,0.99,0.010000000000000009
85002,withheld,plan,SH1,0.895,0.09499999999999997
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.98,0.020000000000000018
85002,withheld,apply,SC2,0.855,0.14500000000000002
85002,withheld,apply,SH1,0.31,0.26499999999999996
