seed,arm,metric,operation,accuracy,drop_from_frozen_atomic
85000,random,plan,AC1,1.0,0.0
85000,random,plan,AX1,1.0,0.0
85000,random,plan,REV,0.52,0.48
85000,random,plan,SC2,0.99,0.010000000000000009
85000,random,plan,SH1,0.655,0.33499999999999996
85000,random,apply,AC1,1.0,0.0
85000,random,apply,AX1,1.0,0.0
85000,random,apply,REV,0.92,0.07999999999999996
85000,random,apply,SC2,0.88,0.12
85000,random,apply,SH1,0.275,0.29999999999999993
85000,withheld,plan,AC1,1.0,0.0
85000,withheld,plan,AX1,1.0,0.0
85000,withheld,plan,REV,0.54,0.45999999999999996
85000,withheld,plan,SC2,0.98,0.020000000000000018
85000,withheld,plan,SH1,0.8,0.18999999999999995
85000,withheld,apply,AC1,1.0,0.0
85000,withheld,apply,AX1,1.0,0.0
85000,withheld,apply,REV,0.985,0.015000000000000013
85000,withheld,apply,SC2,0.845,0.15500000000000003
85000,withheld,apply,SH1,0.26,0.31499999999999995
85001,random,plan,AC1,1.0,0.0
85001,random,plan,AX1,1.0,0.0
85001,random,plan,REV,0.525,0.475
85001,random,plan,SC2,0.99,0.010000000000000009
85001,random,plan,SH1,0.825,0.16500000000000004
85001,random,apply,AC1,1.0,0.0
85001,random,apply,AX1,1.0,0.0
85001,random,apply,REV,0.93,0.06999999999999995
85001,random,apply,SC2,0.8,0.19999999999999996
85001,random,apply,SH1,0.35,0.22499999999999998
85001,withheld,plan,AC1,1.0,0.0
85001,withheld,plan,AX1,1.0,0.0
85001,withheld,plan,REV,0.61,0.39
85001,withheld,plan,SC2,0.98,0.020000000000000018
85001,withheld,plan,SH1,0.91,0.07999999999999996
85001,withheld,apply,AC1,1.0,0.0
85001,withheld,apply,AX1,1.0,0.0
85001,withheld,apply,REV,0.975,0.025000000000000022
85001,withheld,apply,SC2,0.805,0.19499999999999995
85001,withheld,apply,SH1,0.305,0.26999999999999996
85002,random,plan,AC1,1.0,0.0
85002,random,plan,AX1,1.0,0.0
85002,random,plan,REV,0.7,0.30000000000000004
85002,random,plan,SC2,0.985,0.015000000000000013
85002,random,plan,SH1,0.9,0.08999999999999997
85002,random,apply,AC1,1.0,0.0
85002,random,apply,AX1,1.0,0.0
85002,random,apply,REV,0.99,0.010000000000000009
85002,random,apply,SC2,0.91,0.08999999999999997
85002,random,apply,SH1,0.315,0.25999999999999995
85002,withheld,plan,AC1,1.0,0.0
85002,withheld,plan,AX1,1.0,0.0
85002,withheld,plan,REV,0.255,0.745
85002,withheld,plan,SC2,0.98,0.020000000000000018
85002,withheld,plan,SH1,0.84,0.15000000000000002
85002,withheld,apply,AC1,1.0,0.0
85002,withheld,apply,AX1,1.0,0.0
85002,withheld,apply,REV,0.54,0.45999999999999996
85002,withheld,apply,SC2,0.83,0.17000000000000004
85002,withheld,apply,SH1,0.3,0.27499999999999997
