seed,arm,split,hit32,correct_mass
85000,random,withheld,0.691,0.06455912452480535
85000,random,control,0.608,0.03259070556148476
85000,withheld,withheld,0.478,0.022695383328802443
85000,withheld,control,0.594,0.026687833415756725
85001,random,withheld,0.65,0.052300610575752846
85001,random,control,0.615,0.03195325626494801
85001,withheld,withheld,0.416,0.01702365555977257
85001,withheld,control,0.603,0.024884714204934856
85002,random,withheld,0.582,0.056999486095307875
85002,random,control,0.603,0.029821981843231978
85002,withheld,withheld,0.431,0.02127586229441501
85002,withheld,control,0.611,0.027623402084667577
