seed,arm,split,k,hit_k
85000,random,withheld,1,0.094
85000,random,withheld,2,0.205
85000,random,withheld,3,0.253
85000,random,withheld,4,0.287
85000,random,withheld,5,0.312
85000,random,withheld,6,0.338
85000,random,withheld,7,0.36
85000,random,withheld,8,0.38
85000,random,withheld,9,0.393
85000,random,withheld,10,0.416
85000,random,withheld,11,0.434
85000,random,withheld,12,0.451
85000,random,withheld,13,0.464
85000,random,withheld,14,0.478
85000,random,withheld,15,0.494
85000,random,withheld,16,0.503
85000,random,withheld,17,0.522
85000,random,withheld,18,0.539
85000,random,withheld,19,0.552
85000,random,withheld,20,0.561
85000,random,withheld,21,0.576
85000,random,withheld,22,0.594
85000,random,withheld,23,0.603
85000,random,withheld,24,0.615
85000,random,withheld,25,0.631
85000,random,withheld,26,0.641
85000,random,withheld,27,0.652
85000,random,withheld,28,0.658
85000,random,withheld,29,0.666
85000,random,withheld,30,0.673
85000,random,withheld,31,0.681
85000,random,withheld,32,0.691
85000,random,withheld,33,0.697
85000,random,withheld,34,0.705
85000,random,withheld,35,0.713
85000,random,withheld,36,0.723
85000,random,withheld,37,0.731
85000,random,withheld,38,0.749
85000,random,withheld,39,0.763
85000,random,withheld,40,0.77
85000,random,withheld,41,0.783
85000,random,withheld,42,0.789
85000,random,withheld,43,0.794
85000,random,withheld,44,0.801
85000,random,withheld,45,0.814
85000,random,withheld,46,0.821
85000,random,withheld,47,0.825
85000,random,withheld,48,0.838
85000,random,withheld,49,0.846
85000,random,withheld,50,0.852
85000,random,withheld,51,0.86
85000,random,withheld,52,0.869
85000,random,withheld,53,0.879
85000,random,withheld,54,0.888
85000,random,withheld,55,0.894
85000,random,withheld,56,0.9
85000,random,withheld,57,0.911
85000,random,withheld,58,0.923
85000,random,withheld,59,0.932
85000,random,withheld,60,0.937
85000,random,withheld,61,0.94
85000,random,withheld,62,0.947
85000,random,withheld,63,0.956
85000,random,withheld,64,0.963
85000,random,withheld,65,0.968
85000,random,withheld,66,0.972
85000,random,withheld,67,0.979
85000,random,withheld,68,0.983
85000,random,withheld,69,0.989
85000,random,withheld,70,0.991
85000,random,withheld,71,0.993
85000,random,withheld,72,0.993
85000,random,withheld,73,0.996
85000,random,withheld,74,0.997
85000,random,withheld,75,0.998
85000,random,withheld,76,0.998
85000,random,withheld,77,0.998
85000,random,withheld,78,0.998
85000,random,withheld,79,0.998
85000,random,withheld,80,0.998
85000,random,withheld,81,0.998
85000,random,withheld,82,0.998
85000,random,withheld,83,0.999
85000,random,withheld,84,0.999
85000,random,withheld,85,0.999
85000,random,withheld,86,0.999
85000,random,withheld,87,0.999
85000,random,withheld,88,0.999
85000,random,withheld,89,1.0
85000,random,withheld,90,1.0
85000,random,withheld,91,1.0
85000,random,withheld,92,1.0
85000,random,withheld,93,1.0
85000,random,withheld,94,1.0
85000,random,withheld,95,1.0
85000,random,withheld,96,1.0
85000,random,withheld,97,1.0
85000,random,withheld,98,1.0
